effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.043810500209838,0.0967544390053722,10.788244042755302
fixed,NA,lice,-0.24271304268295352,0.054976228545687955,-4.414872556804202
fixed,NA,S:population_nameroscoe_creek_even,-1.3796492851135523e-4,3.480472392802575e-5,-3.9639713504597567
fixed,NA,S:population_namecooper_inlet_creeks_even,-4.976968312684843e-5,1.535756444807471e-5,-3.240727609844917
fixed,NA,S:population_namequartcha_creek_even,-1.941122484826053e-4,4.465625641982428e-5,-4.346809698012056
fixed,NA,S:population_namegoat_bushu_creek_even,-0.001467202774081229,4.390505738130565e-4,-3.3417625704002605
fixed,NA,S:population_nameneekas_creek_even,-2.0643843477287404e-5,5.293961621759812e-6,-3.899507580945591
fixed,NA,S:population_namewalker_lake_creek_even,-9.588566900873874e-4,3.666495950743661e-4,-2.6151854603655194
fixed,NA,S:population_namekadjusdis_river_even,-1.2143008377560518e-4,4.103292558125305e-5,-2.9593328298064043
fixed,NA,S:population_namepine_river_even,-2.86241723977768e-4,9.720715931919764e-5,-2.9446568131657926
fixed,NA,S:population_namelee_creek_even,-0.0014429362077558001,6.170832806002477e-4,-2.3383168092842035
fixed,NA,S:population_nameclatse_creek_even,-2.5109798874360262e-5,7.719070772050386e-6,-3.252956167376925
fixed,NA,S:population_nametankeeah_river_even,-5.311484149908888e-4,1.4431410754730015e-4,-3.680502370960514
fixed,NA,S:population_namekunsoot_river_even,-4.877532132630742e-5,1.753348382485848e-5,-2.781838556074928
fixed,NA,S:population_namebullock_channel_creeks_even,-5.007657624045168e-4,1.9509945337042834e-4,-2.566720478984279
fixed,NA,S:population_namekwakusdis_river_even,-7.805439734088301e-5,2.237795983352135e-5,-3.4880032818702458
fixed,NA,S:population_nameroscoe_creek_odd,-5.661158165535993e-5,1.5445282563030928e-5,-3.6652991892076248
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.441167871425278e-5,3.224784847891475e-5,-2.9276892309880407
fixed,NA,S:population_namequartcha_creek_odd,-1.079773605948395e-4,3.144885205384309e-5,-3.4334277260732167
fixed,NA,S:population_nameneekas_creek_odd,-2.845182378351479e-5,5.248555844052987e-6,-5.420886169240796
fixed,NA,S:population_namekadjusdis_river_odd,-2.1848939109842105e-4,7.015170062171837e-5,-3.114527362302869
fixed,NA,S:population_namepine_river_odd,-4.428774746108983e-4,9.985402427816145e-5,-4.435249133046286
fixed,NA,S:population_namelee_creek_odd,-2.1202246338502314e-4,6.997106752402547e-5,-3.030144756791405
fixed,NA,S:population_nameclatse_creek_odd,-4.180807208052897e-5,1.098145846359639e-5,-3.807151137448911
fixed,NA,S:population_nametankeeah_river_odd,-1.841176883279088e-4,6.79885726940106e-5,-2.708068150754524
fixed,NA,S:population_namekunsoot_river_odd,-1.4025081309664112e-4,3.653967943683764e-5,-3.8383153672455768
fixed,NA,S:population_namekwakusdis_river_odd,-8.970830055165884e-5,2.2699299981467378e-5,-3.9520293852629953
fixed,NA,S:population_namebullock_channel_creeks_odd,-7.488238859682167e-4,1.6529781832295157e-4,-4.530149844477667
fixed,NA,S:population_namemcloughlin_creek_even,-6.97494411888817e-4,2.973069615353753e-4,-2.346041304538458
fixed,NA,S:population_namegoat_bushu_creek_odd,-7.911799431298344e-4,5.826255106143735e-4,-1.3579562321181955
fixed,NA,S:population_namewalker_lake_creek_odd,-0.0012340705455105622,2.3007445938118075e-4,-5.363787657394815
fixed,NA,S:population_namemcloughlin_creek_odd,-0.0012817425551356278,3.286057691809837e-4,-3.900547937214371
fixed,NA,S:population_nameviner_sound_creek_even,-1.2809061536871066e-4,2.9442322893465848e-5,-4.350560783950165
fixed,NA,S:population_nameahta_river_even,-5.492898434092825e-5,1.093966785074272e-5,-5.021083372032999
fixed,NA,S:population_nameglendale_creek_even,-2.3860517793778987e-6,1.0242922619533907e-6,-2.3294638337182647
fixed,NA,S:population_namewakeman_river_even,-4.181187632121184e-6,3.0117246368621956e-6,-1.3883034261981562
fixed,NA,S:population_namekakweiken_river_even,-2.0734819220381753e-6,6.734858795420834e-7,-3.0787310989325825
fixed,NA,S:population_namelull_creek_even,-1.4693517354153683e-4,2.888552303511158e-5,-5.086810211569682
fixed,NA,S:population_nameahnuhati_river_even,-4.795774337836142e-6,1.799926308568402e-6,-2.6644281574230293
fixed,NA,S:population_namekingcome_river_even,-8.144808831363111e-6,3.3313530719464574e-6,-2.4448951088226223
fixed,NA,S:population_nameviner_sound_creek_odd,-0.0012480310649036566,3.4692935495623373e-4,-3.5973636911212075
fixed,NA,S:population_nameahta_river_odd,-5.468331729393287e-5,1.4164547142908194e-5,-3.860576461938731
fixed,NA,S:population_nameglendale_creek_odd,-1.8854776947326072e-6,7.87637683705742e-7,-2.3938388598443616
fixed,NA,S:population_namewakeman_river_odd,-4.5247607075364575e-6,1.6205977236610259e-6,-2.792032002435963
fixed,NA,S:population_namekakweiken_river_odd,-2.1435305177508608e-6,8.341990584222094e-7,-2.5695671747761257
fixed,NA,S:population_namelull_creek_odd,-7.0475892953198e-5,2.0980288682980413e-5,-3.3591479134588513
fixed,NA,S:population_nameahnuhati_river_odd,-5.737790751126741e-5,2.4254732535749312e-5,-2.365637610173499
fixed,NA,S:population_namekingcome_river_odd,-1.0063928141304223e-4,3.0395932456174187e-5,-3.310945685188211
fixed,NA,S:population_namequatlena_river_even,-2.3810447562306453e-4,5.744751750529466e-5,-4.144730459434032
fixed,NA,S:population_namenecleetsconnay_river_even,-2.4523152111200777e-5,7.223069663959409e-6,-3.3951149929458286
fixed,NA,S:population_namecascade_river_even,-1.0797047838581245e-4,3.935908475339444e-5,-2.7432161866137084
fixed,NA,S:population_namenamu_river_even,-7.190869399816017e-4,5.637501211741083e-4,-1.275541969701004
fixed,NA,S:population_namesagar_creek_even,-3.7052099096252666e-4,9.464979725024161e-5,-3.91465171322996
fixed,NA,S:population_namedean_river_even,-1.9898070606321003e-5,6.482811805878828e-6,-3.069358050510856
fixed,NA,S:population_namekwatna_river_even,-8.793929932125067e-6,2.626256557293394e-6,-3.348465673585236
fixed,NA,S:population_namenoeick_river_even,-4.0053365249639357e-4,9.202381904513904e-5,-4.3524997837780015
fixed,NA,S:population_namekimsquit_river_even,-1.128795481427744e-6,3.641530560671818e-7,-3.099783079177276
fixed,NA,S:population_namekoeye_river_even,-1.0823248388571516e-5,2.726993654989306e-6,-3.9689305359289366
fixed,NA,S:population_namenekite_river_even,-2.6770670047783404e-5,1.5412482217375664e-5,-1.7369473437317444
fixed,NA,S:population_nameasseek_river_even,-8.683579332800986e-5,3.390874742699574e-5,-2.5608670304016408
fixed,NA,S:population_nameelcho_creek_even,-6.966903683381596e-5,1.848486968824132e-5,-3.76897635789849
fixed,NA,S:population_namewalkum_creek_even,-0.0032961015435022866,8.46449994558655e-4,-3.894029847824498
fixed,NA,S:population_namekilbella_river_even,-1.3282293886738009e-5,3.353554104780951e-6,-3.96066187445799
fixed,NA,S:population_namejohnston_creek_even,-2.4589098604850516e-5,5.286277973448848e-6,-4.65149557559271
fixed,NA,S:population_namebella_coola_river_even,-4.968987953271091e-7,1.575929736931454e-7,-3.1530517108880596
fixed,NA,S:population_namejenny_bay_creeks_even,-5.2957386223825086e-5,1.3701563042816399e-5,-3.865061676418746
fixed,NA,S:population_namenooseseck_river_even,-7.980629033526085e-5,1.752289528842691e-5,-4.5544009150114215
fixed,NA,S:population_nametaleomey_river_even,-8.149340263552009e-4,1.7542350015599997e-4,-4.6455236934076645
fixed,NA,S:population_namekisameet_river_even,-4.297255318428327e-4,1.321058347364092e-4,-3.252888358037055
fixed,NA,S:population_namemartin_river_even,-1.2559656823363528e-4,7.241836540904349e-5,-1.7343192921329178
fixed,NA,S:population_nameskowquiltz_river_even,-2.7279954740990246e-4,5.6927889306473153e-5,-4.792019355245672
fixed,NA,S:population_namecamp_creek_even,-0.002703528819683953,5.325033393579195e-4,-5.077017588178521
fixed,NA,S:population_namenicknaqueet_river_even,-2.2020063745923152e-4,7.394969321417352e-5,-2.977708600108525
fixed,NA,S:population_namehook_nose_creek_even,-8.689920020019442e-5,2.3241705042645126e-5,-3.7389339568997673
fixed,NA,S:population_namenootum_river_even,-7.549440643783888e-5,1.9188220060741134e-5,-3.9344142499334533
fixed,NA,S:population_nameworan_creek_even,-2.1108060134393566e-4,6.30598046906359e-5,-3.347308200199361
fixed,NA,S:population_namedeep_bay_creek_even,-0.0023683896271900883,0.0012286089637907234,-1.9277001039311241
fixed,NA,S:population_nameevans_inlet_#3_creek_even,-1.1305451586304113e-4,3.194668323416787e-5,-3.5388498716551005
fixed,NA,S:population_namefrenchman_creek_even,-8.905094020589275e-5,2.4833659749729892e-5,-3.58589676686141
fixed,NA,S:population_namequatlena_river_odd,-7.199462966885737e-4,1.709415828947869e-4,-4.211651047666352
fixed,NA,S:population_namenecleetsconnay_river_odd,-3.103313570955676e-5,1.0153217329168782e-5,-3.0564829554473216
fixed,NA,S:population_namecascade_river_odd,-2.4852999087948647e-4,6.975971818300834e-5,-3.562657610334526
fixed,NA,S:population_namenamu_river_odd,-0.0015361424049652617,4.387910945588583e-4,-3.5008513709915494
fixed,NA,S:population_namesagar_creek_odd,-5.433996058925896e-4,1.9099390483914914e-4,-2.845114907463821
fixed,NA,S:population_namedean_river_odd,-4.114481855774879e-5,1.28169513742854e-5,-3.2101876145287935
fixed,NA,S:population_namekwatna_river_odd,-5.6980830430890716e-06,2.2452401608511437e-6,-2.5378501340048167
fixed,NA,S:population_namenoeick_river_odd,-3.8794996032718665e-4,1.5093681672005967e-4,-2.570280523715508
fixed,NA,S:population_namekimsquit_river_odd,-4.1093812309206596e-4,1.5061535989675643e-4,-2.7283945234653038
fixed,NA,S:population_namekoeye_river_odd,-1.407717035580379e-5,3.1694354307521975e-6,-4.441538773504174
fixed,NA,S:population_namenekite_river_odd,-3.57156536973729e-5,1.0793710478433538e-5,-3.3089319718862993
fixed,NA,S:population_nameasseek_river_odd,-1.1251594616247542e-4,4.376651528969079e-5,-2.5708225893181536
fixed,NA,S:population_nameelcho_creek_odd,-4.6230570729273814e-5,1.5533866877611454e-5,-2.976114775124325
fixed,NA,S:population_namechuckwalla_river_odd,-3.0012400966491346e-6,1.2265053353587913e-6,-2.446984949944125
fixed,NA,S:population_namejohnston_creek_odd,-2.803593534556888e-5,6.48469578661032e-6,-4.323400243918585
fixed,NA,S:population_namebella_coola_river_odd,-7.48245203699746e-7,2.5097622427462296e-7,-2.981338992816315
fixed,NA,S:population_namejenny_bay_creeks_odd,-1.4630913914277796e-4,4.1809836522074245e-5,-3.499395149883723
fixed,NA,S:population_namenooseseck_river_odd,-9.269629378949373e-5,3.6365928243828354e-5,-2.5489874249318847
fixed,NA,S:population_nametaleomey_river_odd,-3.4892465006287036e-4,1.822935172604313e-4,-1.914081506060271
fixed,NA,S:population_namekisameet_river_odd,-2.9220144095140795e-4,1.0587742681755122e-4,-2.759808674373355
fixed,NA,S:population_namemartin_river_odd,-7.496274238666272e-4,2.3327837627078434e-4,-3.213445823184556
fixed,NA,S:population_nameskowquiltz_river_odd,-1.9627471072998636e-4,8.336282174918583e-5,-2.3544633760181384
fixed,NA,S:population_namecamp_creek_odd,-0.0054272737038779965,0.0015278843586325164,-3.5521495283422513
fixed,NA,S:population_namewannock_river_odd,-0.001182135902129704,9.421251132511586e-4,-1.2547546875704199
fixed,NA,S:population_namehook_nose_creek_odd,-1.288444226295393e-4,2.9229910200328632e-5,-4.407965051773943
fixed,NA,S:population_namenootum_river_odd,-8.157381181061248e-4,2.1818783404881138e-4,-3.7386966219373803
fixed,NA,S:population_nameworan_creek_odd,-1.5762787457056812e-4,5.439262881662354e-5,-2.897963896946156
fixed,NA,S:population_namedeep_bay_creek_odd,-0.00711846513941035,0.0021999624119610536,-3.2357212562849775
fixed,NA,S:population_nameevans_inlet_#3_creek_odd,-5.56842747113098e-4,1.6828516000196817e-4,-3.308923657359838
fixed,NA,S:population_namefrenchman_creek_odd,-6.801773567716098e-5,2.0784449778649827e-5,-3.272530011693168
fixed,NA,S:population_namegenesee_creek_even,-0.0011044689398870568,2.592034076864657e-4,-4.261012421653925
fixed,NA,S:population_namechuckwalla_river_even,-5.8270026831120285e-6,2.4055835401265644e-6,-2.4222824050439975
fixed,NA,S:population_namenicknaqueet_river_odd,-3.0611031573322316e-4,1.3206312529347487e-4,-2.3179090685077695
fixed,NA,S:population_nameclyak_river_even,-1.865961439821948e-5,4.90989890223409e-6,-3.800407049059407
fixed,NA,S:population_namemilton_river_even,-6.730141403923733e-5,2.7337571131667668e-5,-2.461865164066306
fixed,NA,S:population_namekilbella_river_odd,-6.055144401230896e-6,2.1950027369297516e-6,-2.7586044879836904
fixed,NA,S:population_nameclyak_river_odd,-6.650297534185986e-4,2.5358509734308175e-4,-2.6225111821885294
fixed,NA,S:population_namemilton_river_odd,-3.24642998408595e-4,1.0824387621486504e-4,-2.9991811986128045
fixed,NA,S:population_namelockhart_gordon_creek_even,-2.482805693596034e-4,6.152641540949128e-5,-4.035349170062372
fixed,NA,S:population_namemacnair_creek_even,-1.6420480200832178e-4,8.30884668122642e-5,-1.9762646767732204
fixed,NA,S:population_nameamback_creek_odd,-2.1014612890640414e-4,1.4429548249593024e-4,-1.4563597229201626
fixed,NA,S:population_namesandell_river_even,-1.9302407769239765e-4,2.0784171120987865e-4,-0.9287071231697177
fixed,NA,S:population_namedallery_creek_odd,-5.838469148325674e-4,1.541769868495257e-4,-3.786861624182556
fixed,NA,S:population_nameamback_creek_even,-3.109285218969289e-4,1.1456288597812906e-4,-2.7140423291735822
fixed,NA,S:population_namewannock_river_even,-3.9420694510674826e-4,2.8300740718292664e-4,-1.3929209451819964
fixed,NA,S:population_nameashlulm_creek_even,-9.694756131797997e-4,3.7041825668680594e-4,-2.6172457638865936
fixed,NA,S:population_namelockhart_gordon_creek_odd,-2.2735035228659787e-4,1.3320248013542652e-4,-1.7068026965823122
fixed,NA,S:population_namemacnair_creek_odd,-1.863796607853431e-4,1.1516942658607942e-4,-1.6183084895889455
fixed,NA,S:population_namebeaver_creek_even,-0.0024862143330147647,0.0022683315011718165,-1.0960542282864698
fixed,NA,S:population_namedallery_creek_even,-1.746929765549065e-4,8.087662837493411e-5,-2.1599933140764884
fixed,NA,S:population_namegenesee_creek_odd,-5.962266212134658e-4,1.500512749554103e-4,-3.97348587268347
fixed,NA,S:population_namegreen_river_odd,-0.0012481681204393866,6.835154749809887e-4,-1.8261007484491893
fixed,NA,S:population_namewalkum_creek_odd,-0.0056463317983768664,0.0015300353787400323,-3.690327607343668
fixed,NA,S:population_nameashlulm_creek_odd,-9.516799979576076e-4,2.864402022324182e-4,-3.3224386470213854
fixed,NA,S:population_nameoatsoalis_creek_even,-0.0010142896074318232,3.3420066072057986e-4,-3.0349718796033605
fixed,NA,S:population_namecrab_harbour_creek_even,-0.004235729127274087,0.001351794126782014,-3.1334128794873264
fixed,NA,S:population_namenieumiamus_creek_odd,-5.858624438536406e-4,2.2485774197181696e-4,-2.6054804193803163
fixed,NA,S:population_nameallard_creek_odd,-6.406469139643526e-4,4.945408549425871e-4,-1.2954377935847734
fixed,NA,S:population_namedraney_creek_even,-2.610207393988657e-4,1.4340922389264937e-4,-1.820111233530249
fixed,NA,S:population_namenieumiamus_creek_even,-3.779385067813191e-4,1.2518015947540772e-4,-3.019156616872397
fixed,NA,S:population_namedraney_creek_odd,-6.501895960208902e-4,3.7620257347445544e-4,-1.7282965132747525
fixed,NA,S:population_namebeaver_creek_odd,-0.0058647446425861855,0.0015493169092326415,-3.7853744496282076
fixed,NA,S:population_nameallard_creek_even,-0.0062449093883471226,0.0018276287152463075,-3.4169464160041407
fixed,NA,S:population_namecrab_harbour_creek_odd,-0.009794467459540714,0.00391756007247816,-2.5001448039940213
fixed,NA,S:population_namegreen_river_even,-0.0018173718233585837,0.0011553148608285928,-1.5730532731615372
fixed,NA,S:population_namefour_lakes_creek_even,-0.002661346273452609,0.001884954892554868,-1.41188857301801
fixed,NA,S:population_nameatnarko_spawning_channel_even,-7.599966815015082e-5,3.503478170598031e-5,-2.169263356282821
fixed,NA,S:population_nameatnarko_spawning_channel_odd,-1.6551141909177113e-4,4.838440306786828e-5,-3.420759761355535
fixed,NA,S:population_namenekite_spawning_channel_odd,-9.030079968410537e-4,4.098420832052869e-4,-2.2033071610870754
fixed,NA,S:population_namejenny_bay_west_creek_odd,-2.4174736109719487e-4,1.0973149773800023e-4,-2.203080848075195
fixed,NA,S:population_namejenny_bay_south_creek_odd,-5.219819624155614e-4,2.0468699183734322e-4,-2.5501472161472782
fixed,NA,S:population_namejenny_bay_east_creek_odd,-0.0018731182714178962,0.0011724552498600918,-1.5976032105629736
ran_pars,area:year_fac,sd__(Intercept),0.47422780216952587,NA,NA
ran_pars,year_fac,sd__(Intercept),0.6647481909494909,NA,NA
ran_pars,Residual,sd__Observation,1.1725448913723004,NA,NA
