effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.041888429489649,0.09694616722005531,10.74708221444894
fixed,NA,lice,-0.21417174249357895,0.0481613739839614,-4.446960806494059
fixed,NA,S:population_nameroscoe_creek_even,-1.379202708297971e-4,3.480265581084128e-5,-3.9629237371831247
fixed,NA,S:population_namecooper_inlet_creeks_even,-4.974214466840317e-5,1.535626484915347e-5,-3.2392085677752074
fixed,NA,S:population_namequartcha_creek_even,-1.9405417654321018e-4,4.465257403122317e-5,-4.345867640407884
fixed,NA,S:population_namegoat_bushu_creek_even,-0.0014661544971020855,4.3902308832381417e-4,-3.3395840357732642
fixed,NA,S:population_nameneekas_creek_even,-2.063529543152642e-5,5.2934433494805205e-6,-3.898274538736963
fixed,NA,S:population_namewalker_lake_creek_even,-9.584661382478939e-4,3.6663149096010836e-4,-2.6142493535891616
fixed,NA,S:population_namekadjusdis_river_even,-1.2135905258552474e-4,4.1029559860392255e-5,-2.9578443687542033
fixed,NA,S:population_namepine_river_even,-2.8610845576945915e-4,9.72000272555805e-5,-2.943501805993917
fixed,NA,S:population_namelee_creek_even,-0.0014419852466017965,6.170337921924167e-4,-2.336963169356089
fixed,NA,S:population_nameclatse_creek_even,-2.5084584505701678e-5,7.718365614511226e-6,-3.249986559141535
fixed,NA,S:population_nametankeeah_river_even,-5.309371871865717e-4,1.4430365963300501e-4,-3.679305074707448
fixed,NA,S:population_namekunsoot_river_even,-4.87560429923033e-5,1.753200547700307e-5,-2.7809735204712975
fixed,NA,S:population_namebullock_channel_creeks_even,-5.005763938805474e-4,1.950838899647937e-4,-2.565954543816433
fixed,NA,S:population_namekwakusdis_river_even,-7.799710363429423e-5,2.2376285414846858e-5,-3.4857038238590965
fixed,NA,S:population_nameroscoe_creek_odd,-5.657300186886897e-5,1.5444395838008767e-5,-3.6630116491602998
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.433183067777672e-5,3.224541015311047e-5,-2.9254343557691493
fixed,NA,S:population_namequartcha_creek_odd,-1.0774036256543702e-4,3.1445289852101035e-5,-3.426279836254659
fixed,NA,S:population_nameneekas_creek_odd,-2.842073381045588e-5,5.248049537799715e-6,-5.415485049398274
fixed,NA,S:population_namekadjusdis_river_odd,-2.1833597824091685e-4,7.01468658035853e-5,-3.112555004984377
fixed,NA,S:population_namepine_river_odd,-4.426499912740525e-4,9.984747093597702e-5,-4.433261925661424
fixed,NA,S:population_namelee_creek_odd,-2.1189452272637227e-4,6.996734848011274e-5,-3.0284772444478207
fixed,NA,S:population_nameclatse_creek_odd,-4.170396400204974e-5,1.097984504190565e-5,-3.7982288313616897
fixed,NA,S:population_nametankeeah_river_odd,-1.8397752769328308e-4,6.798425442641913e-5,-2.706178500382115
fixed,NA,S:population_namekunsoot_river_odd,-1.4016439368470996e-4,3.6537132890322816e-5,-3.8362176393384644
fixed,NA,S:population_namekwakusdis_river_odd,-8.953383842393661e-5,2.2696784388014848e-5,-3.944780762477323
fixed,NA,S:population_namebullock_channel_creeks_odd,-7.478263447494002e-4,1.6528318195643149e-4,-4.524515657899947
fixed,NA,S:population_namemcloughlin_creek_even,-6.971743426931689e-4,2.972916118100177e-4,-2.3450858180912744
fixed,NA,S:population_namegoat_bushu_creek_odd,-7.891078541760316e-4,5.825743461682749e-4,-1.3545187139910553
fixed,NA,S:population_namewalker_lake_creek_odd,-0.0012336724952305906,2.3006100326764014e-4,-5.3623711872429105
fixed,NA,S:population_namemcloughlin_creek_odd,-0.0012811702133665279,3.285897089439866e-4,-3.898996768596073
fixed,NA,S:population_nameviner_sound_creek_even,-1.2806340748296725e-4,2.9440298403718083e-5,-4.349935782811014
fixed,NA,S:population_nameahta_river_even,-5.470500626793685e-5,1.094559771145269e-5,-4.997900316644878
fixed,NA,S:population_nameglendale_creek_even,-2.3565055665199333e-6,1.0253447891478463e-6,-2.2982567341844113
fixed,NA,S:population_namewakeman_river_even,-4.03878444191489e-6,3.018424053747124e-6,-1.338044081944375
fixed,NA,S:population_namekakweiken_river_even,-2.0396660660867955e-6,6.751013224915398e-7,-3.0212739897459704
fixed,NA,S:population_namelull_creek_even,-1.4632970003126587e-4,2.8902461898220422e-5,-5.062880129262472
fixed,NA,S:population_nameahnuhati_river_even,-4.723084371233401e-6,1.8028855005388746e-6,-2.6197361783772135
fixed,NA,S:population_namekingcome_river_even,-8.089103991547292e-6,3.3320688665347477e-6,-2.427652103109057
fixed,NA,S:population_nameviner_sound_creek_odd,-0.0012511356614745216,3.4687523989953363e-4,-3.6068750881062925
fixed,NA,S:population_nameahta_river_odd,-5.488587459001152e-5,1.4161616992186578e-5,-3.8756785062252304
fixed,NA,S:population_nameglendale_creek_odd,-1.9166080441776223e-6,7.869119068159927e-7,-2.4356068672700766
fixed,NA,S:population_namewakeman_river_odd,-4.526539181434082e-6,1.62046952902088e-6,-2.7933503841748304
fixed,NA,S:population_namekakweiken_river_odd,-2.14966537811619e-6,8.341006024916882e-7,-2.577225542931569
fixed,NA,S:population_namelull_creek_odd,-7.081939794231921e-5,2.0975192501474794e-5,-3.3763407862568986
fixed,NA,S:population_nameahnuhati_river_odd,-5.761053926597982e-5,2.425126541153798e-5,-2.3755683791481887
fixed,NA,S:population_namekingcome_river_odd,-1.0071919815550399e-4,3.039309300075158e-5,-3.313884445818441
fixed,NA,S:population_namequatlena_river_even,-2.379837273435023e-4,5.7445244511522516e-5,-4.142792486430568
fixed,NA,S:population_namenecleetsconnay_river_even,-2.45369609324699e-5,7.222795509215663e-6,-3.3971556997789647
fixed,NA,S:population_namecascade_river_even,-1.079067978049788e-4,3.9357306600652815e-5,-2.7417221127420586
fixed,NA,S:population_namenamu_river_even,-7.190418698151787e-4,5.637308266092175e-4,-1.2755056773108204
fixed,NA,S:population_namesagar_creek_even,-3.7051385459157095e-4,9.46461984763595e-5,-3.91472516124477
fixed,NA,S:population_namedean_river_even,-1.989644771722965e-5,6.4825761482159424e-6,-3.0692192829397484
fixed,NA,S:population_namekwatna_river_even,-8.793424487222308e-6,2.626137979080465e-6,-3.348424400115222
fixed,NA,S:population_namenoeick_river_even,-4.0053315854634365e-4,9.202066201896798e-5,-4.352643740639279
fixed,NA,S:population_namekimsquit_river_even,-1.1287161053206265e-6,3.641405358357339e-7,-3.099671676843463
fixed,NA,S:population_namekoeye_river_even,-1.0825251336444872e-5,2.7268792459903104e-6,-3.969831576650365
fixed,NA,S:population_namenekite_river_even,-2.6787041293388264e-5,1.5408313648487237e-5,-1.7384797521965145
