data_source,farm_name,hump_sarg_doc,inventory,ktc,lep_av,lep_tot,month,ref,time_place_id,year
BATI,Arrow Pass,0,264008,0,0.166666666666667,44001.3333333333,1,466,466_2005_1,2005
BATI,Arrow Pass,0,500788,0,0.416666666666667,208661.666666667,2,466,466_2005_2,2005
BATI,Arrow Pass,0,640620,0,0.608333333333333,389710.5,3,466,466_2005_3,2005
BATI,Arrow Pass,0,619355,0,0.983333333333333,609032.416666667,4,466,466_2005_4,2005
BATI,Arrow Pass,0,611803,0,1.31666666666667,805540.616666667,5,466,466_2005_5,2005
BATI,Arrow Pass,0,607984,0,1.2,729580.8,6,466,466_2005_6,2005
BATI,Arrow Pass,0,598193,0,1.35,807560.55,7,466,466_2005_7,2005
BATI,Arrow Pass,0,591433,0,0.4,236573.2,8,466,466_2005_8,2005
BATI,Arrow Pass,0,64773,0,0,0,9,466,466_2005_9,2005
BATI,Arrow Pass,0,966659,0,0.4,386663.6,1,466,466_2006_1,2006
BATI,Arrow Pass,0,1207640,0,0.55,664202,2,466,466_2006_2,2006
BATI,Arrow Pass,0,1160483,0,0.55,638265.65,3,466,466_2006_3,2006
BATI,Arrow Pass,0,1178427,0,0.433333333333333,510651.7,4,466,466_2006_4,2006
BATI,Arrow Pass,0,1167212,0,0.55,641966.6,5,466,466_2006_5,2006
BATI,Arrow Pass,0,1163275,0,0.483333333333333,562249.583333333,6,466,466_2006_6,2006
BATI,Arrow Pass,0,876532,0,0.466666666666667,409048.266666667,7,466,466_2006_7,2006
BATI,Arrow Pass,0,1214963,0,0.275,334114.825,1,466,466_2007_1,2007
BATI,Arrow Pass,0,1197810,0,0.6,718686,3,466,466_2007_3,2007
BATI,Arrow Pass,0,1192500,0,0.883333333333333,1053375,4,466,466_2007_4,2007
BATI,Arrow Pass,0,1186118,0,0.233333333333333,276760.866666667,5,466,466_2007_5,2007
BATI,Arrow Pass,0,1183695,0,0.4,473478,6,466,466_2007_6,2007
BATI,Arrow Pass,0,873167,0,0.075,65487.525,7,466,466_2007_7,2007
BATI,Arrow Pass,0,556493,0,0.0833333333333333,46374.4166666667,8,466,466_2007_8,2007
BATI,Arrow Pass,0,1361206,0,0.0833333333333333,113433.833333333,1,466,466_2008_1,2008
BATI,Arrow Pass,0,1349510,0,0.0666666666666667,89967.3333333333,2,466,466_2008_2,2008
BATI,Arrow Pass,0,1345346,0,0.2,269069.2,3,466,466_2008_3,2008
BATI,Arrow Pass,0,1342374,0,0.0166666666666667,22372.9,4,466,466_2008_4,2008
BATI,Arrow Pass,0,1335317,0,0.283333333333333,378339.816666667,5,466,466_2008_5,2008
BATI,Arrow Pass,0,1326990,0,0.133333333333333,176932,6,466,466_2008_6,2008
BATI,Arrow Pass,0,1324994,0,0.0666666666666667,88332.9333333333,7,466,466_2008_7,2008
BATI,Arrow Pass,0,1224406,0,0.3,367321.8,1,466,466_2009_1,2009
BATI,Arrow Pass,0,1216439,0,0.3,364931.7,2,466,466_2009_2,2009
BATI,Arrow Pass,0,1204321,0,0.116666666666667,140504.116666667,3,466,466_2009_3,2009
BATI,Arrow Pass,0,1196781,0,0.183333333333333,219409.85,4,466,466_2009_4,2009
BATI,Arrow Pass,0,1193945,0,0.25,298486.25,5,466,466_2009_5,2009
BATI,Arrow Pass,0,1192653,0,0.133333333333333,159020.4,6,466,466_2009_6,2009
BATI,Arrow Pass,0,809805,0,0.05,40490.25,7,466,466_2009_7,2009
BATI,Arrow Pass,0,427254,0,0.283333333333333,121055.3,8,466,466_2009_8,2009
BATI,Arrow Pass,0,478241,0,0.516666666666667,247091.183333333,3,466,466_2010_3,2010
BATI,Arrow Pass,0,473134,0,0.616666666666667,291765.966666667,4,466,466_2010_4,2010
