year,farm_name,lep_av,cal_av,ref,month
2011,Ahlstrom,0.42,0,1698,1
2011,Ahlstrom,0.43,0,1698,2
2011,Ahlstrom,0.23,7.9,1698,3
2011,Ahlstrom,0.32,5.07,1698,3
2011,Ahlstrom,0.28,2.8,1698,4
2011,Ahlstrom,0.04,0.35,1698,4
2011,Ahlstrom,0,0.1,1698,5
2011,Ahlstrom,0.02,0.05,1698,5
2011,Ahlstrom,0.02,0.02,1698,6
2011,Ahlstrom,NA,NA,1698,6
2011,Ahlstrom,0,0,1698,7
2011,Ahlstrom,0,0,1698,8
2011,Ahlstrom,0,0,1698,9
2011,Ahlstrom,0.02,0,1698,10
2011,Ahlstrom,0.03,0.08,1698,11
2011,Ahlstrom,NA,NA,1698,12
2012,Ahlstrom,NA,NA,1698,1
2013,Ahlstrom,NA,NA,1698,9
2013,Ahlstrom,0,0,1698,10
2013,Ahlstrom,0.02,0,1698,11
2013,Ahlstrom,0.05,0,1698,12
2014,Ahlstrom,0.18,0,1698,1
2014,Ahlstrom,0,0,1698,2
2014,Ahlstrom,NA,NA,1698,3
2014,Ahlstrom,0,0,1698,4
2014,Ahlstrom,NA,NA,1698,4
2014,Ahlstrom,0,0,1698,5
2014,Ahlstrom,NA,NA,1698,5
2014,Ahlstrom,0,0,1698,6
2014,Ahlstrom,NA,NA,1698,6
2014,Ahlstrom,NA,NA,1698,7
2014,Ahlstrom,NA,NA,1698,8
2015,Ahlstrom,NA,NA,1698,1
2015,Ahlstrom,NA,NA,1698,2
2015,Ahlstrom,0,0.02,1698,3
2015,Ahlstrom,0.05,0,1698,3
2015,Ahlstrom,0,0.1,1698,4
2015,Ahlstrom,0.02,0,1698,4
2015,Ahlstrom,0.05,0,1698,5
2015,Ahlstrom,0.13,0.02,1698,5
2015,Ahlstrom,0,0,1698,6
2015,Ahlstrom,0.03,0,1698,6
2015,Ahlstrom,0,0,1698,7
2015,Ahlstrom,0.03,0,1698,8
2015,Ahlstrom,1.38,0,1698,9
2015,Ahlstrom,2.25,0,1698,10
2015,Ahlstrom,0.15,0,1698,11
2015,Ahlstrom,0.07,0,1698,12
2016,Ahlstrom,0.12,0.07,1698,1
2016,Ahlstrom,0.27,0,1698,2
2016,Ahlstrom,0.05,0,1698,3
2016,Ahlstrom,0.08,0,1698,3
2016,Ahlstrom,0.33,0,1698,4
2016,Ahlstrom,0.56,0,1698,4
2016,Ahlstrom,1.18,0,1698,5
2016,Ahlstrom,0.86,0.73,1698,5
2016,Ahlstrom,1.84,0.05,1698,6
