cal_av,cal_tot,farm_name,farm_ref,hump_sarg_doc,inventory,ktc,lep_av,lep_tot,month,year
0.01,5024.9111111111115,Maude Island,869,Other,502491.1111111111,Broughton,0.015,7537.366666666667,4,2011
0.005,2607.6022222222223,Maude Island,869,Other,521520.44444444444,Broughton,0.01,5215.204444444445,3,2011
0.325,169494.14444444445,Maude Island,869,Other,521520.44444444444,Broughton,0.5249999999999999,273798.2333333333,3,2013
0,0,Maude Island,869,Other,502491.1111111111,Broughton,5.7,2864199.3333333335,4,2015
0.345,179924.55333333332,Maude Island,869,Other,521520.44444444444,Broughton,3.76,1960916.871111111,3,2015
NA,NA,Maude Island,869,Other,502491.1111111111,Broughton,NA,NA,4,2016
0.056666666666666664,28474.496296296296,Maude Island,869,Other,502491.1111111111,Broughton,0.013333333333333332,6699.881481481481,4,2017
0.043333333333333335,22599.21925925926,Maude Island,869,Other,521520.44444444444,Broughton,0.013333333333333332,6953.6059259259255,3,2017
NA,NA,Maude Island,869,Other,502491.1111111111,Broughton,NA,NA,4,2018
2.105,1057743.788888889,Maude Island,869,Other,502491.1111111111,Broughton,0.115,57786.477777777785,4,2019
2.835,1478510.46,Maude Island,869,Other,521520.44444444444,Broughton,0.175,91266.07777777777,3,2019
0.006666666666666667,3349.940740740741,Maude Island,869,Other,502491.1111111111,Broughton,0,0,4,2020
NA,NA,Maude Island,869,Other,521520.44444444444,Broughton,NA,NA,3,2020
0.014,7034.875555555556,Maude Island,869,Other,502491.1111111111,Broughton,0.402,202001.4266666667,4,2021
0.154,80314.14844444444,Maude Island,869,Other,521520.44444444444,Broughton,0.412,214866.4231111111,3,2021
0.28,142240,Noo-la,1825,Other,508000,Broughton,0.055,27940,4,2011
0.035,13265.000000000002,Noo-la,1825,Other,379000,Broughton,0.19,72010,3,2011
NA,NA,Noo-la,1825,Other,508000,Broughton,NA,NA,4,2012
NA,NA,Noo-la,1825,Other,379000,Broughton,NA,NA,3,2012
0.31999999999999995,162559.99999999997,Noo-la,1825,Other,508000,Broughton,0.1,50800,4,2013
0.075,28425,Noo-la,1825,Other,379000,Broughton,0.085,32215.000000000004,3,2013
0.025,12700,Noo-la,1825,Other,508000,Broughton,0.065,33020,4,2014
0.085,32215.000000000004,Noo-la,1825,Other,379000,Broughton,0.4,151600,3,2014
0.015,7620,Noo-la,1825,Other,508000,Broughton,0.015,7620,4,2015
0.135,51165,Noo-la,1825,Other,379000,Broughton,0,0,3,2015
NA,NA,Noo-la,1825,Other,508000,Broughton,NA,NA,4,2016
0.04,20320,Noo-la,1825,Other,508000,Broughton,0.135,68580,4,2017
0.015,5685,Noo-la,1825,Other,379000,Broughton,0.2,75800,3,2017
0.060000000000000005,30480.000000000004,Noo-la,1825,Other,508000,Broughton,0.016666666666666666,8466.666666666666,4,2018
NA,NA,Noo-la,1825,Other,379000,Broughton,NA,NA,3,2018
0.8999999999999999,457199.99999999994,Noo-la,1825,Other,508000,Broughton,0.8049999999999999,408939.99999999994,4,2019
2.5,947500,Noo-la,1825,Other,379000,Broughton,0.19,72010,3,2019
0.1325,67310,Noo-la,1825,Other,508000,Broughton,0.025,12700,4,2020
0,0,Noo-la,1825,Other,379000,Broughton,0,0,3,2020
0.03166666666666667,16086.666666666668,Noo-la,1825,Other,508000,Broughton,0.39166666666666666,198966.66666666666,4,2021
0.0825,31267.5,Noo-la,1825,Other,379000,Broughton,0.3825,144967.5,3,2021
NA,NA,Simmonds Point,1336,Other,699437.1428571428,Broughton,NA,NA,3,2011
1.525,1228162.4535714283,Simmonds Point,1336,Other,805352.4285714285,Broughton,0.315,253686.01499999998,4,2013
0.105,73440.9,Simmonds Point,1336,Other,699437.1428571428,Broughton,0.22499999999999998,157373.35714285713,3,2013
NA,NA,Simmonds Point,1336,Other,805352.4285714285,Broughton,NA,NA,4,2014
1.3,1046958.1571428571,Simmonds Point,1336,Other,805352.4285714285,Broughton,1.03,829513.0014285714,4,2015
NA,NA,Simmonds Point,1336,Other,699437.1428571428,Broughton,NA,NA,3,2015
0.2,161070.48571428572,Simmonds Point,1336,Other,805352.4285714285,Broughton,0.1,80535.24285714286,4,2017
NA,NA,Simmonds Point,1336,Other,699437.1428571428,Broughton,NA,NA,3,2017
0.28,225498.68,Simmonds Point,1336,Other,805352.4285714285,Broughton,0.08,64428.194285714286,4,2019
NA,NA,Simmonds Point,1336,Other,699437.1428571428,Broughton,NA,NA,3,2019
NA,NA,Simmonds Point,1336,Other,805352.4285714285,Broughton,NA,NA,4,2020
0.048,38656.91657142857,Simmonds Point,1336,Other,805352.4285714285,Broughton,0.46,370462.1171428571,4,2021
0.025,17485.928571428572,Simmonds Point,1336,Other,699437.1428571428,Broughton,0.6375,445891.1785714285,3,2021
0.01,2969.686666666667,Wehlis Bay,1335,Other,296968.6666666667,Broughton,0.025,7424.216666666667,4,2011
0.05,12386.916666666668,Wehlis Bay,1335,Other,247738.33333333334,Broughton,0,0,3,2011
0.0175,5196.951666666668,Wehlis Bay,1335,Other,296968.6666666667,Broughton,0.4975,147741.91166666668,4,2021
0.005,1238.6916666666668,Wehlis Bay,1335,Other,247738.33333333334,Broughton,0.47750000000000004,118295.05416666668,3,2021
