#,Farm # on  Map,Date,Month,Year,age (d in SW),Year class,SW entry date,# fish,Chalimus/ fish,Motile L.s./ fish,Female L.s./ fish,Fe L.s. 3-month series,L. salmonis estimate type,Caligus/ fish,Treatment,T (°C),Salinity (ppt),Comments,# Motiles (L.salmonis),# Female L.salmonis,# Caligus spp.,0.4*(# Caligus/ farm)
1,1,Jan-00,Jan,2000,640,2,Apr-98,"200,000",,,,,,,,,,No data on # of fish,,,,
2,1,Feb-00,Feb,2000,671,2,Apr-98,"100,000",,,,,,,,,,,,,,
3,1,Mar-00,Mar,2000,700,2,Apr-98,"50,000",,,,,,,,,,Harvest sized fish,,,,
4,1,Apr-00,Apr,2000,,,,,,,,,,,,,,Empty (no fish),,,,
5,1,May-00,May,2000,,,,,,,,,,,,,,,,,,
6,1,Jun-00,Jun,2000,,,,,,,,,,,,,,,,,,
7,1,Jul-00,Jul,2000,,,,,,,,,,,,,,,,,,
8,1,Aug-00,Aug,2000,,,,,,,,,,,,,,,,,,
9,1,Sep-00,Sep,2000,,,,,,,,,,,,,,,,,,
10,1,Oct-00,Oct,2000,0,1,Oct-00,"126,496",,,,,,,,,,,,,,
11,1,Nov-00,Nov,2000,31,1,Oct-00,"285,626",,,,,,,,,,,,,,
12,1,Dec-00,Dec,2000,61,1,Oct-00,"279,610",,,,,,,,,,,,,,
13,1,Jan-01,Jan,2001,92,1,Oct-00,"907,334",,,,,,,,,,,,,,
14,1,Feb-01,Feb,2001,123,1,Oct-00,"1,085,128",,,,,,,,,,,,,,
15,1,Mar-01,Mar,2001,151,1,Oct-00,"1,079,261",,,,,,,,,,,,,,
16,1,Apr-01,Apr,2001,182,1,Oct-00,"1,111,684",3.72,2.96,0.88,,,2.00,,,,,"3,294,290","981,988","2,223,368","889,347"
17,1,May-01,May,2001,212,1,Oct-00,"1,106,770",0.83,4.45,1.65,,,0.00,1,,,,"4,928,289","1,826,171",0,0
18,1,Jun-01,Jun,2001,243,1,Oct-00,"1,101,246",,,,,,,,,,,,,,
19,1,Jul-01,Jul,2001,273,1,Oct-00,"1,092,686",,,,,,,,,,,,,,
20,1,Aug-01,Aug,2001,304,1,Oct-00,"1,084,737",,,,,,,,,,,,,,
21,1,Sep-01,Sep,2001,335,1,Oct-00,"1,083,209",1.00,1.00,0.00,,,0.00,,,,,"1,083,209",0,0,0
22,1,Oct-01,Oct,2001,365,2,Oct-00,"1,081,913",0.50,3.60,1.20,0,,1.10,,,,,"3,894,887","1,298,296","1,190,104","476,042"
