day,month,location,length_mm
14,6,Burdwood Islands,75
14,6,Burdwood Islands,70
14,6,Burdwood Islands,70
14,6,Burdwood Islands,70
14,6,Burdwood Islands,69
14,6,Burdwood Islands,67
14,6,Burdwood Islands,65
14,6,Burdwood Islands,65
14,6,Burdwood Islands,65
14,6,Burdwood Islands,65
14,6,Burdwood Islands,65
14,6,Burdwood Islands,65
14,6,Burdwood Islands,64
14,6,Burdwood Islands,62
14,6,Burdwood Islands,62
14,6,Burdwood Islands,62
14,6,Burdwood Islands,62
14,6,Burdwood Islands,62
14,6,Burdwood Islands,61
14,6,Burdwood Islands,60
14,6,Burdwood Islands,60
14,6,Burdwood Islands,60
14,6,Burdwood Islands,60
14,6,Burdwood Islands,60
14,6,Burdwood Islands,60
14,6,Burdwood Islands,59
14,6,Burdwood Islands,59
14,6,Burdwood Islands,58
14,6,Burdwood Islands,57
14,6,Burdwood Islands,57
14,6,Burdwood Islands,57
14,6,Burdwood Islands,57
14,6,Burdwood Islands,56
14,6,Burdwood Islands,56
14,6,Burdwood Islands,55
14,6,Burdwood Islands,55
14,6,Burdwood Islands,55
14,6,Burdwood Islands,55
14,6,Burdwood Islands,55
14,6,Burdwood Islands,55
14,6,Burdwood Islands,54
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,52
14,6,Burdwood Islands,50
14,6,Burdwood Islands,47
14,6,Burdwood Islands,46
14,6,Burdwood Islands,42
14,6,Burdwood Islands,42
14,6,Burdwood Islands,39
14,6,Burdwood Islands,34
13,6,Burdwood Islands,85
13,6,Burdwood Islands,81
13,6,Burdwood Islands,75
13,6,Burdwood Islands,70
13,6,Burdwood Islands,65
13,6,Burdwood Islands,64
13,6,Burdwood Islands,62
13,6,Burdwood Islands,62
13,6,Burdwood Islands,62
13,6,Burdwood Islands,60
13,6,Burdwood Islands,58
13,6,Burdwood Islands,57
13,6,Burdwood Islands,57
13,6,Burdwood Islands,57
13,6,Burdwood Islands,57
13,6,Burdwood Islands,56
13,6,Burdwood Islands,56
13,6,Burdwood Islands,56
13,6,Burdwood Islands,55
13,6,Burdwood Islands,55
13,6,Burdwood Islands,55
13,6,Burdwood Islands,54
13,6,Burdwood Islands,54
13,6,Burdwood Islands,53
13,6,Burdwood Islands,50
13,6,Burdwood Islands,50
13,6,Burdwood Islands,50
13,6,Burdwood Islands,49
13,6,Burdwood Islands,47
13,6,Burdwood Islands,37
