day,month,length,location
30,6,62,Burdwood
30,6,62,Burdwood
30,6,57,Burdwood
29,6,70,Burdwood
29,6,67,Burdwood
29,6,65,Burdwood
29,6,65,Burdwood
29,6,64,Burdwood
29,6,64,Burdwood
29,6,63,Burdwood
29,6,63,Burdwood
29,6,62,Burdwood
29,6,62,Burdwood
29,6,61,Burdwood
29,6,57,Burdwood
25,6,60,Burdwood
25,6,50,Burdwood
25,6,49,Burdwood
25,6,48,Burdwood
25,6,47,Burdwood
24,6,66,Burdwood
24,6,63,Burdwood
24,6,63,Burdwood
24,6,62,Burdwood
24,6,61,Burdwood
24,6,60,Burdwood
24,6,60,Burdwood
24,6,57,Burdwood
24,6,53,Burdwood
24,6,50,Burdwood
24,6,50,Burdwood
24,6,47,Burdwood
23,6,71,Burdwood
23,6,61,Burdwood
23,6,60,Burdwood
23,6,60,Burdwood
23,6,60,Burdwood
23,6,60,Burdwood
23,6,57,Burdwood
23,6,55,Burdwood
23,6,55,Burdwood
23,6,55,Burdwood
23,6,55,Burdwood
16,7,70,Burdwood
13,7,75,Burdwood
13,7,64,Burdwood
12,6,60,Burdwood
12,6,60,Burdwood
12,6,58,Burdwood
12,6,58,Burdwood
12,6,57,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,55,Burdwood
12,6,54,Burdwood
12,6,54,Burdwood
12,6,53,Burdwood
12,6,50,Burdwood
12,6,50,Burdwood
12,6,50,Burdwood
