day,month,length,location
28,6,75,Glacier
28,6,75,Glacier
28,6,74,Glacier
28,6,73,Glacier
28,6,70,Glacier
28,6,70,Glacier
28,6,70,Glacier
28,6,69,Glacier
28,6,67,Glacier
28,6,67,Glacier
28,6,67,Glacier
28,6,67,Glacier
28,6,66,Glacier
28,6,66,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,65,Glacier
28,6,64,Glacier
28,6,64,Glacier
28,6,64,Glacier
28,6,64,Glacier
28,6,64,Glacier
28,6,64,Glacier
28,6,63,Glacier
28,6,63,Glacier
28,6,63,Glacier
28,6,63,Glacier
28,6,63,Glacier
28,6,62,Glacier
28,6,62,Glacier
28,6,62,Glacier
28,6,62,Glacier
28,6,62,Glacier
28,6,61,Glacier
28,6,60,Glacier
28,6,60,Glacier
28,6,60,Glacier
28,6,59,Glacier
28,6,58,Glacier
28,6,58,Glacier
28,6,58,Glacier
28,6,58,Glacier
28,6,58,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,57,Glacier
28,6,56,Glacier
28,6,56,Glacier
28,6,56,Glacier
28,6,55,Glacier
28,6,55,Glacier
28,6,55,Glacier
28,6,55,Glacier
28,6,54,Glacier
28,6,54,Glacier
28,6,54,Glacier
28,6,53,Glacier
28,6,53,Glacier
28,6,52,Glacier
28,6,50,Glacier
28,6,47,Glacier
28,6,34,Glacier
28,6,32,Glacier
26,6,69,Glacier
26,6,67,Glacier
26,6,65,Glacier
26,6,62,Glacier
26,6,62,Glacier
26,6,60,Glacier
26,6,60,Glacier
26,6,60,Glacier
16,6,67,Glacier
16,6,65,Glacier
16,6,65,Glacier
16,6,63,Glacier
16,6,62,Glacier
16,6,62,Glacier
16,6,62,Glacier
16,6,61,Glacier
16,6,61,Glacier
16,6,61,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,60,Glacier
16,6,59,Glacier
16,6,58,Glacier
16,6,58,Glacier
16,6,58,Glacier
16,6,58,Glacier
16,6,58,Glacier
16,6,57,Glacier
16,6,57,Glacier
16,6,57,Glacier
16,6,57,Glacier
16,6,56,Glacier
16,6,56,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,55,Glacier
16,6,54,Glacier
16,6,54,Glacier
16,6,54,Glacier
16,6,54,Glacier
16,6,54,Glacier
16,6,53,Glacier
16,6,53,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,52,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,50,Glacier
16,6,49,Glacier
16,6,49,Glacier
16,6,48,Glacier
16,6,47,Glacier
16,6,47,Glacier
16,6,47,Glacier
16,6,45,Glacier
16,6,45,Glacier
16,6,43,Glacier
16,6,42,Glacier
16,6,42,Glacier
16,6,39,Glacier
16,6,37,Glacier
15,7,54,Glacier
