Fish #,Date,day,month,location,length cm,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep,adult male-Caligus,adult female-Caligus,gravid Caligus
1,28/06/2001,28,6,Glacier Falls,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,28/06/2001,28,6,Glacier Falls,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28/06/2001,28,6,Glacier Falls,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28/06/2001,28,6,Glacier Falls,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,28/06/2001,28,6,Glacier Falls,5.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26/06/2001,28,6,Glacier Falls,4.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28/06/2001,28,6,Glacier Falls,4.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28/06/2001,28,6,Glacier Falls,5.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,26/06/2001,28,6,Glacier Falls,4.9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28/06/2001,28,6,Glacier Falls,5.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28/06/2001,28,6,Glacier Falls,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28/06/2001,28,6,Glacier Falls,5.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,28/06/2001,28,6,Glacier Falls,5.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,26/06/2001,28,6,Glacier Falls,5.2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
15,28/06/2001,28,6,Glacier Falls,5.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,28/06/2001,28,6,Glacier Falls,5.1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
17,28/06/2001,28,6,Glacier Falls,5.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,26/06/2001,28,6,Glacier Falls,5.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,28/06/2001,28,6,Glacier Falls,5.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,28/06/2001,28,6,Glacier Falls,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,28/06/2001,28,6,Glacier Falls,5.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,28/06/2001,28,6,Glacier Falls,5.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,28/06/2001,28,6,Glacier Falls,5.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28/06/2001,28,6,Glacier Falls,5.4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,28/06/2001,28,6,Glacier Falls,4.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28/06/2001,28,6,Glacier Falls,4.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28/06/2001,28,6,Glacier Falls,4.2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,28/06/2001,28,6,Glacier Falls,4.4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,28/06/2001,28,6,Glacier Falls,3.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
30,28/06/2001,28,6,Glacier Falls,3.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,28/06/2001,28,6,Glacier Falls,5.7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
32,28/06/2001,28,6,Glacier Falls,7,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
33,28/06/2001,28,6,Glacier Falls,6.4,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
34,28/06/2001,28,6,Glacier Falls,6.5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,28/06/2001,28,6,Glacier Falls,6.1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,28/06/2001,28,6,Glacier Falls,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,28/06/2001,28,6,Glacier Falls,5.5,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
38,28/06/2001,28,6,Glacier Falls,5.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,28/06/2001,28,6,Glacier Falls,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,28/06/2001,28,6,Glacier Falls,5.7,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
41,28/06/2001,28,6,Glacier Falls,5.7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,28/06/2001,28,6,Glacier Falls,6.5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,28/06/2001,28,6,Glacier Falls,5.6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,28/06/2001,28,6,Glacier Falls,5.7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
45,28/06/2001,28,6,Glacier Falls,5.5,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
46,28/06/2001,28,6,Glacier Falls,5.4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
47,28/06/2001,28,6,Glacier Falls,5.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
48,28/06/2001,28,6,Glacier Falls,5.5,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
49,28/06/2001,28,6,Glacier Falls,5.5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,28/06/2001,28,6,Glacier Falls,5.7,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
51,28/06/2001,28,6,Glacier Falls,4.9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,28/06/2001,28,6,Glacier Falls,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,28/06/2001,28,6,Glacier Falls,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,28/06/2001,28,6,Glacier Falls,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,28/06/2001,28,6,Glacier Falls,6.2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,28/06/2001,28,6,Glacier Falls,5.1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,28/06/2001,28,6,Glacier Falls,5.6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,28/06/2001,28,6,Glacier Falls,4.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,28/06/2001,28,6,Glacier Falls,4.6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,28/06/2001,28,6,Glacier Falls,4.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,28/06/2001,28,6,Glacier Falls,3.2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,28/06/2001,28,6,Glacier Falls,5.5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
64,28/06/2001,28,6,Glacier Falls,5.7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,28/06/2001,28,6,Glacier Falls,6.1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,28/06/2001,28,6,Glacier Falls,6.7,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
67,28/06/2001,28,6,Glacier Falls,5.8,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
68,28/06/2001,28,6,Glacier Falls,6.1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
69,28/06/2001,28,6,Glacier Falls,6.2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
70,28/06/2001,28,6,Glacier Falls,5.7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
71,28/06/2001,28,6,Glacier Falls,5.5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,28/06/2001,28,6,Glacier Falls,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,28/06/2001,28,6,Glacier Falls,6.2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,28/06/2001,28,6,Glacier Falls,5.5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,28/06/2001,28,6,Glacier Falls,6.3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
76,28/06/2001,28,6,Glacier Falls,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,28/06/2001,28,6,Glacier Falls,5.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,28/06/2001,28,6,Glacier Falls,6.3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,28/06/2001,28,6,Glacier Falls,5.7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2001-12-06,12,6,Burdwood Islands,4.9,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,2001-12-06,12,6,Burdwood Islands,5.7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2001-12-06,12,6,Burdwood Islands,3.7,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0
204,2001-12-06,12,6,Burdwood Islands,5.8,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
205,2001-12-06,12,6,Burdwood Islands,5.7,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
206,2001-12-06,12,6,Burdwood Islands,5.7,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
207,2001-12-06,12,6,Burdwood Islands,5.6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2001-12-06,12,6,Burdwood Islands,5.5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2001-12-06,12,6,Burdwood Islands,5.5,0,5,1,0,1,5,3,1,0,0,0,0,0,0,0,0
210,2001-12-06,12,6,Burdwood Islands,5.4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2001-07-06,7,6,Burdwood Islands,5.7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2001-07-06,7,6,Burdwood Islands,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,2001-07-06,7,6,Burdwood Islands,5.3,0,0,0,4,0,0,0,0,0,1,2,0,0,1,0,0
214,2001-07-06,7,6,Burdwood Islands,5,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
215,2001-07-06,7,6,Burdwood Islands,5,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
216,2001-07-06,7,6,Burdwood Islands,5.5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,2001-07-06,7,6,Burdwood Islands,4.7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
218,2001-07-06,7,6,Burdwood Islands,5.4,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
219,2001-07-06,7,6,Burdwood Islands,8.1,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0
220,2001-07-06,7,6,Burdwood Islands,8.5,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
221,2001-07-06,7,6,Burdwood Islands,7.5,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
222,2001-07-06,7,6,Burdwood Islands,7,0,0,0,4,0,0,0,1,0,1,0,1,1,1,0,0
223,2001-07-06,7,6,Burdwood Islands,6.5,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
224,2001-07-06,7,6,Burdwood Islands,6.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2001-07-06,7,6,Burdwood Islands,6.2,0,0,0,6,0,0,0,0,0,1,1,1,0,0,0,0
226,2001-07-06,7,6,Burdwood Islands,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,2001-07-06,7,6,Burdwood Islands,5.6,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,2001-07-06,7,6,Burdwood Islands,6.2,4,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0
229,2001-07-06,7,6,Burdwood Islands,5.6,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
230,2001-07-06,7,6,Burdwood Islands,6.4,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
231,2001-07-06,7,6,Burdwood Islands,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2001-07-06,7,6,Burdwood Islands,5.6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
233,2001-07-06,7,6,Burdwood Islands,5.2,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0
234,2001-07-06,7,6,Burdwood Islands,5.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2001-07-06,7,6,Burdwood Islands,6,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
236,2001-07-06,7,6,Burdwood Islands,5.5,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
237,2001-07-06,7,6,Burdwood Islands,5.6,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238,2001-07-06,7,6,Burdwood Islands,5.7,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
239,2001-07-06,7,6,Burdwood Islands,5.2,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
240,2001-07-06,7,6,Burdwood Islands,5.2,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
241,2001-07-06,7,6,Burdwood Islands,6.2,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
242,2001-07-06,7,6,Burdwood Islands,5.2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243,2001-07-06,7,6,Burdwood Islands,5.2,1,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0
244,2001-07-06,7,6,Burdwood Islands,5.2,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
245,2001-07-06,7,6,Burdwood Islands,4.6,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0
246,2001-07-06,7,6,Burdwood Islands,3.4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
247,2001-07-06,7,6,Burdwood Islands,5.7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2001-07-06,7,6,Burdwood Islands,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
249,13/07/2001,13,7,Burdwood Islands,6.5,1,1,0,0,1,0,0,1,0,1,1,1,1,2,0,0
250,23/06/2001,23,6,Burdwood Islands,6.9,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0
251,24/06/2001,24,6,Burdwood Islands,6.5,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0
252,29/06/2001,29,6,Burdwood Islands,6.7,0,0,0,5,0,0,1,1,0,1,1,0,1,0,0,0
253,24/06/2001,24,6,Burdwood Islands,6.5,6,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
254,23/06/2001,23,6,Burdwood Islands,6.4,1,1,0,0,1,0,0,1,0,4,1,0,0,0,1,0
255,24/06/2001,24,6,Burdwood Islands,6.2,0,0,0,6,1,0,0,1,0,1,0,1,0,0,0,0
256,23/06/2001,23,6,Burdwood Islands,6.1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
257,13/07/2001,13,7,Burdwood Islands,6.2,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
258,29/06/2001,29,6,Burdwood Islands,6.2,2,0,0,0,3,0,0,0,0,1,3,1,0,0,0,0
259,29/06/2001,29,6,Burdwood Islands,5.4,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,30/06/2001,30,6,Burdwood Islands,5.9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,24/06/2001,24,6,Burdwood Islands,6,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
262,29/06/2001,29,6,Burdwood Islands,6,4,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0
263,23/06/2001,23,6,Burdwood Islands,5.5,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0
264,24/06/2001,24,6,Burdwood Islands,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
265,24/06/2001,24,6,Burdwood Islands,5.9,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
266,24/06/2001,24,6,Burdwood Islands,5.5,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
267,23/06/2001,23,6,Burdwood Islands,5.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
269,24/06/2001,24,6,Burdwood Islands,5.8,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,24/06/2001,24,6,Burdwood Islands,5.7,2,2,0,0,2,1,1,0,0,1,0,1,0,0,0,0
271,23/06/2001,23,6,Burdwood Islands,5.5,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
272,29/06/2001,29,6,Burdwood Islands,5.5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,29/06/2001,29,6,Burdwood Islands,5.5,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
274,29/06/2001,29,6,Burdwood Islands,6.5,0,1,0,0,4,3,0,2,0,0,0,0,0,0,0,0
275,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
276,23/06/2001,23,6,Burdwood Islands,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
277,24/06/2001,24,6,Burdwood Islands,5.2,5,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
278,29/06/2001,29,6,Burdwood Islands,4.2,4,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0
279,23/06/2001,23,6,Burdwood Islands,4.7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
280,23/06/2001,23,6,Burdwood Islands,4.2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
281,30/06/2001,30,6,Burdwood Islands,3.9,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
282,23/06/2001,23,6,Burdwood Islands,7.5,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
283,23/06/2001,23,6,Burdwood Islands,6.2,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
284,2001-10-07,10,7,Burdwood Islands,7,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
285,29/06/2001,29,6,Burdwood Islands,6.5,6,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
286,29/06/2001,29,6,Burdwood Islands,7,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
287,29/06/2001,29,6,Burdwood Islands,6.5,4,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0
288,29/06/2001,29,6,Burdwood Islands,6,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
449,16/06/2001,16,6,Glacier Falls,6.1,15,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0
