day,month,location,length_mm,fish_id
30,6,Burdwood Islands,59,260
30,6,Burdwood Islands,39,281
29,6,Burdwood Islands,70,286
29,6,Burdwood Islands,67,252
29,6,Burdwood Islands,65,274
29,6,Burdwood Islands,65,285
29,6,Burdwood Islands,65,287
29,6,Burdwood Islands,62,258
29,6,Burdwood Islands,60,262
29,6,Burdwood Islands,60,288
29,6,Burdwood Islands,55,272
29,6,Burdwood Islands,55,273
29,6,Burdwood Islands,54,259
29,6,Burdwood Islands,42,278
24,6,Burdwood Islands,65,251
24,6,Burdwood Islands,65,253
24,6,Burdwood Islands,62,255
24,6,Burdwood Islands,60,261
24,6,Burdwood Islands,60,264
24,6,Burdwood Islands,59,265
24,6,Burdwood Islands,58,269
24,6,Burdwood Islands,57,270
24,6,Burdwood Islands,55,266
24,6,Burdwood Islands,52,268
24,6,Burdwood Islands,52,275
24,6,Burdwood Islands,52,277
23,6,Burdwood Islands,75,282
23,6,Burdwood Islands,69,250
23,6,Burdwood Islands,64,254
23,6,Burdwood Islands,62,283
23,6,Burdwood Islands,61,256
23,6,Burdwood Islands,57,267
23,6,Burdwood Islands,55,263
23,6,Burdwood Islands,55,271
23,6,Burdwood Islands,50,276
23,6,Burdwood Islands,47,279
23,6,Burdwood Islands,42,280
13,7,Burdwood Islands,65,249
13,7,Burdwood Islands,62,257
12,6,Burdwood Islands,58,204
12,6,Burdwood Islands,57,202
12,6,Burdwood Islands,57,205
12,6,Burdwood Islands,57,206
12,6,Burdwood Islands,56,207
12,6,Burdwood Islands,55,208
12,6,Burdwood Islands,55,209
12,6,Burdwood Islands,54,210
12,6,Burdwood Islands,49,201
12,6,Burdwood Islands,37,203
10,7,Burdwood Islands,70,284
7,6,Burdwood Islands,85,220
7,6,Burdwood Islands,81,219
7,6,Burdwood Islands,75,221
7,6,Burdwood Islands,70,222
7,6,Burdwood Islands,70,248
7,6,Burdwood Islands,65,223
7,6,Burdwood Islands,64,230
7,6,Burdwood Islands,62,224
7,6,Burdwood Islands,62,225
7,6,Burdwood Islands,62,228
7,6,Burdwood Islands,62,241
7,6,Burdwood Islands,60,226
7,6,Burdwood Islands,60,231
7,6,Burdwood Islands,60,235
7,6,Burdwood Islands,57,211
7,6,Burdwood Islands,57,238
7,6,Burdwood Islands,57,247
7,6,Burdwood Islands,56,227
7,6,Burdwood Islands,56,229
7,6,Burdwood Islands,56,232
7,6,Burdwood Islands,56,237
7,6,Burdwood Islands,55,216
7,6,Burdwood Islands,55,236
7,6,Burdwood Islands,54,218
7,6,Burdwood Islands,53,213
7,6,Burdwood Islands,52,233
7,6,Burdwood Islands,52,234
7,6,Burdwood Islands,52,239
7,6,Burdwood Islands,52,240
7,6,Burdwood Islands,52,242
7,6,Burdwood Islands,52,243
7,6,Burdwood Islands,52,244
7,6,Burdwood Islands,50,212
7,6,Burdwood Islands,50,214
7,6,Burdwood Islands,50,215
7,6,Burdwood Islands,47,217
7,6,Burdwood Islands,46,245
7,6,Burdwood Islands,34,246
