Fish #,day,mo,Date,    Species,location,Exposure,Relation to Farm,water temp,length cm,weight g,L/W.Ratio,W/L.Ratio,K(cond.Fac),lice/g,lice/g.trans,Farm.NoFarm,Lice.Y.N,Total lice,Tot.Lice.Trans,Intensity.Trans,<.>.1.6.per.g,Ch/ I-II-Lep,Ch/III-IV-Lep,unid subadult,CI-IV Caligus,preadult 1 Lep-male,preadult 1 Lep-female,preadult 2 Lep-male,preadult 2 Lep-female,unid adult,adult male-Lep,virgin-Lep,adult female non-gravid-Lep,gravid female-Lep ,adult male-Caligus,adult female-Caligus,gravid Caligus,   other comments,site of lice attachment,
1,5,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,4.3,0.92,4.674,0.214,1.157,1.92,0.465382851448418,Farm,Y,1,0.301029995663981,0.301029995663981,GT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,black dent,
2,5,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,2.8,0.21,13.333,0.075,0.957,4.76,0.760422483423212,Farm,Y,1,0.301029995663981,0.301029995663981,GT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,black dents and open pin prick wounds,,
3,5,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.0,1.24,4.032,0.248,0.992,1.61,0.416640507338281,Farm,Y,2,0.477121254719662,0.477121254719662,GT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,5,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.0,1.23,4.065,0.246,0.984,1.63,0.419955748489758,Farm,Y,2,0.477121254719662,0.477121254719662,GT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
5,5,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.3,1.09,4.862,0.206,0.732,1.83,0.45178643552429,Farm,Y,2,0.477121254719662,0.477121254719662,GT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,7,6,26/06/2001,pink,Glacier Falls,3,near farm,11.94,4.7,1.06,4.434,0.226,1.021,1.89,0.460897842756548,Farm,Y,2,0.477121254719662,0.477121254719662,GT,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,black dent w/ raw centre,
7,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,4.7,1.05,4.476,0.223,1.011,1.9,0.462397997898956,Farm,Y,2,0.477121254719662,0.477121254719662,GT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.4,1.17,4.615,0.217,0.743,3.44,0.64738297011462,Farm,Y,2,0.477121254719662,0.477121254719662,GT,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,all transparent,raw wounds black dents,
9,7,6,26/06/2001,pink,Glacier Falls,3,near farm,11.94,4.9,1.87,2.620,0.382,1.589,1.6,0.414973347970818,Farm,Y,3,0.602059991327962,0.602059991327962,GT,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,clean and bright,
10,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.7,1.80,3.167,0.316,0.972,1.67,0.426511261364575,Farm,Y,3,0.602059991327962,0.602059991327962,GT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
11,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,6.0,1.73,3.468,0.288,0.801,1.73,0.436162647040756,Farm,Y,3,0.602059991327962,0.602059991327962,GT,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2 swollen, raw spots w/ lice",1 eye hemoraghing,
12,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.2,1.67,3.114,0.321,1.188,1.8,0.447158031342219,Farm,Y,3,0.602059991327962,0.602059991327962,GT,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,all transparent,bright clean,
13,7,6,28/06/2001,pink,Glacier Falls,3,near farm,11.94,5.5,1.67,3.293,0.304,1.004,1.8,0.447158031342219,Farm,Y,3,0.602059991327962,0.602059991327962,GT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all transparent,,
