year,week,date,farm_name,all_lep
2001,24,2001-06-12,Burdwood,2
2001,24,2001-06-12,Burdwood,0
2001,24,2001-06-12,Burdwood,4
2001,24,2001-06-12,Burdwood,1
2001,24,2001-06-12,Burdwood,5
2001,24,2001-06-12,Burdwood,4
2001,24,2001-06-12,Burdwood,3
2001,24,2001-06-12,Burdwood,5
2001,24,2001-06-12,Burdwood,1
2001,24,2001-06-12,Burdwood,7
2001,24,2001-06-12,Burdwood,5
2001,24,2001-06-12,Burdwood,7
2001,24,2001-06-12,Burdwood,3
2001,24,2001-06-12,Burdwood,17
2001,24,2001-06-12,Burdwood,7
2001,24,2001-06-12,Burdwood,0
2001,24,2001-06-12,Burdwood,2
2001,24,2001-06-12,Burdwood,12
2001,24,2001-06-13,Wicklow,10
2001,24,2001-06-13,Wicklow,1
2001,24,2001-06-13,Wicklow,0
2001,24,2001-06-13,Wicklow,6
2001,24,2001-06-13,Wicklow,4
2001,24,2001-06-13,Wicklow,1
2001,24,2001-06-13,Wicklow,2
2001,24,2001-06-13,Wicklow,6
2001,24,2001-06-13,Wicklow,15
2001,24,2001-06-13,Wicklow,2
2001,24,2001-06-16,Glacier,7
2001,24,2001-06-16,Glacier,7
2001,24,2001-06-16,Glacier,3
2001,24,2001-06-16,Glacier,8
2001,24,2001-06-16,Glacier,7
2001,24,2001-06-16,Glacier,3
2001,24,2001-06-16,Glacier,5
2001,24,2001-06-16,Glacier,10
2001,24,2001-06-16,Glacier,2
2001,24,2001-06-16,Glacier,4
2001,24,2001-06-16,Glacier,4
2001,24,2001-06-16,Glacier,5
2001,24,2001-06-16,Glacier,3
2001,24,2001-06-16,Glacier,14
2001,24,2001-06-16,Glacier,10
2001,24,2001-06-16,Glacier,5
2001,24,2001-06-16,Glacier,6
2001,24,2001-06-16,Glacier,25
2001,24,2001-06-16,Glacier,6
2001,24,2001-06-16,Glacier,24
2001,24,2001-06-16,Glacier,7
2001,24,2001-06-16,Glacier,13
2001,24,2001-06-16,Glacier,13
2001,24,2001-06-16,Glacier,1
2001,24,2001-06-16,Glacier,7
2001,24,2001-06-16,Glacier,26
2001,24,2001-06-16,Glacier,8
2001,24,2001-06-16,Glacier,9
