esc,river,year,area,exp,R,S,survival,log_survival,even_odd,pop,population_name
15000,VINER SOUND CREEK,1956,12,0.549968081128436,33330.96914017091,15000,2.2220646093447276,0.7984367679075459,even,34,viner_sound_creek_even
35000,AHTA RIVER,1956,12,0.549968081128436,77772.26132706547,15000,5.184817421804365,1.6457346282947496,even,36,ahta_river_even
75000,GLENDALE CREEK,1956,12,0.549968081128436,166654.84570085455,15000,11.110323046723638,2.407874680341646,even,38,glendale_creek_even
3500,WAKEMAN RIVER,1956,12,0.549968081128436,7777.226132706546,15000,0.5184817421804364,-0.6568504646992962,even,40,wakeman_river_even
35000,KAKWEIKEN RIVER,1956,12,0.549968081128436,77772.26132706547,75000,1.0369634843608728,0.03629671586064909,even,42,kakweiken_river_even
3500,LULL CREEK,1956,12,0.549968081128436,7777.226132706546,400,19.443065331766366,2.967490468277069,even,44,lull_creek_even
400,AHNUHATI RIVER,1956,12,0.549968081128436,888.825843737891,400,2.2220646093447276,0.7984367679075459,even,46,ahnuhati_river_even
3500,KINGCOME RIVER,1956,12,0.549968081128436,7777.226132706546,7500,1.0369634843608728,0.03629671586064909,even,48,kingcome_river_even
3500,VINER SOUND CREEK,1958,12,0.619558161810302,9199.829379056913,15000,0.6133219586037942,-0.4888652629738734,even,34,viner_sound_creek_even
25000,AHTA RIVER,1958,12,0.619558161810302,65713.06699326367,35000,1.8775161998075334,0.6299497330117557,even,36,ahta_river_even
75000,GLENDALE CREEK,1958,12,0.619558161810302,197139.200979791,75000,2.6285226797305468,0.9664219696329687,even,38,glendale_creek_even
3500,WAKEMAN RIVER,1958,12,0.619558161810302,9199.829379056913,3500,2.6285226797305468,0.9664219696329687,even,40,wakeman_river_even
35000,KAKWEIKEN RIVER,1958,12,0.619558161810302,91998.29379056914,35000,2.6285226797305468,0.9664219696329687,even,42,kakweiken_river_even
750,LULL CREEK,1958,12,0.619558161810302,1971.3920097979099,3500,0.56325485994226,-0.5740230713141803,even,44,lull_creek_even
7500,AHNUHATI RIVER,1958,12,0.619558161810302,19713.9200979791,400,49.284800244947746,3.8976157220493883,even,46,ahnuhati_river_even
35000,KINGCOME RIVER,1958,12,0.619558161810302,91998.29379056914,3500,26.285226797305466,3.2690070626270145,even,48,kingcome_river_even
400,VINER SOUND CREEK,1959,12,0.582372087305033,957.7903867075994,750,1.277053848943466,0.2445557444804243,odd,33,viner_sound_creek_odd
