_id,Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Reporting Zone,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
1,2011,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-Jan-11,3,1.03,0.42,0.00,0.00,,2
2,2011,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-Feb-11,3,1.98,0.43,0.00,0.00,,2
3,2011,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,14-Mar-11,2,0.43,0.23,0.00,7.90,Sampling methodology does not meet requirements outlined in licence conditions,2
4,2011,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Pre-treatment,31-Mar-11,3,0.44,0.32,0.35,5.07,In-feed treatment,2
5,2011,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,15-Apr-11,2,0.65,0.28,0.43,2.80,Sampling methodology does not meet requirements outlined in licence conditions,2
6,2011,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,29-Apr-11,3,0.23,0.04,0.05,0.35,,2
7,2011,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,15-May-11,2,0.10,0.00,0.00,0.10,Sampling methodology does not meet requirements outlined in licence conditions,2
8,2011,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Post in-feed treatment,31-May-11,3,0.05,0.02,0.00,0.05,,2
9,2011,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,29-Jun-11,3,0.00,0.02,0.03,0.02,,2
10,2011,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not performed (poor environmental conditions),2
11,2011,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,17-Jul-11,3,0.00,0.00,0.00,0.00,,2
12,2011,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,13-Aug-11,3,0.00,0.00,0.00,0.00,,2
13,2011,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,16-Sep-11,3,0.00,0.00,0.00,0.00,,2
14,2011,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,15-Oct-11,3,0.02,0.02,0.00,0.00,,2
15,2011,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-Nov-11,3,0.22,0.03,0.03,0.08,,2
16,2011,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
17,2012,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
18,2013,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
19,2013,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,24-Oct-13,3,0.13,0.00,0.00,0.00,,1
20,2013,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,16-Nov-13,3,0.13,0.02,0.00,0.00,,1
21,2013,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,15-Dec-13,3,0.27,0.05,0.00,0.00,,1
22,2014,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,15-Jan-14,3,0.47,0.18,0.12,0.00,,1
23,2014,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Pre-treatment,13-Feb-14,3,0.03,0.00,0.00,0.00,In-feed treatment,1
24,2014,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,n/a,0,,,,,Count(s) not required (<21 days post in-feed treatment),1
25,2014,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,28-Apr-14,1,0.00,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
26,2014,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
27,2014,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-May-14,3,0.00,0.00,0.00,0.00,,1
28,2014,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
29,2014,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,5-Jun-14,2,0.03,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
30,2014,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
31,2014,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
32,2014,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
33,2015,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
34,2015,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
35,2015,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,10-Mar-15,3,0.00,0.00,0.22,0.02,,1
36,2015,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,31-Mar-15,3,0.08,0.05,0.28,0.00,,1
37,2015,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,14-Apr-15,3,0.01,0.00,0.01,0.10,,1
38,2015,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,27-Apr-15,3,0.15,0.02,0.00,0.00,,1
39,2015,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,22-May-15,3,0.18,0.05,0.13,0.00,,1
40,2015,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,31-May-15,3,0.18,0.13,0.00,0.02,,1
41,2015,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,8-Jun-15,3,0.00,0.00,0.15,0.00,,1
42,2015,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,19-Jun-15,3,0.07,0.03,0.00,0.00,,1
43,2015,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,17-Jul-15,3,0.07,0.00,0.02,0.00,,1
44,2015,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,15-Aug-15,3,0.08,0.03,0.05,0.00,,1
45,2015,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,22-Sep-15,3,2.70,1.38,0.27,0.00,,1
46,2015,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Threshold exceedance; Pre-treatment,23-Oct-15,3,3.93,2.25,0.00,0.00,In-feed treatment,1
47,2015,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,20-Nov-15,3,0.27,0.15,0.00,0.00,,1
48,2015,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Post in-feed treatment,20-Dec-15,3,0.08,0.07,0.00,0.00,,1
49,2016,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,20-Jan-16,3,0.13,0.12,1.43,0.07,,2
