year,unid_cope,lep_cope,cal_cope,chala,chalb,chal_unid,lep_pamale,lep_male,lep_nongravid,lep_gravid,lep_pafemale,cal_mot,cal_gravid,unid_adult,unid_pa,lep_mot,all_lice,all_sp_mot,all_mot,all_sp_cope,all_cope,all_chal,prop_lep_mot,prop_lep_cope,obs_id
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA,1
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,1,NA,2
2001,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,NA,NA,3
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,1,NA,4
2001,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,5
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,4,1,NA,6
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,7
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,NA,NA,8
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,NA,9
2001,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,NA,NA,10
2001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,5,1,NA,11
2001,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,NA,NA,12
2001,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,NA,NA,13
2001,0,0,0,2,13,0,0,0,0,0,0,0,0,2,1,1,18,1,3,0,0,15,1,NA,14
2001,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,8,1,1,0,0,7,1,NA,15
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,16
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,2,1,NA,17
2001,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,3,15,3,3,0,0,12,1,NA,18
2001,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,11,1,1,0,0,10,1,NA,19
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,1,NA,20
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,21
2001,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,9,3,3,0,0,6,1,NA,22
2001,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,4,1,NA,23
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,0,0,1,1,NA,24
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,2,1,NA,25
2001,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,6,1,NA,26
2001,0,0,0,12,3,0,0,0,0,0,0,0,0,0,3,3,18,3,3,0,0,15,1,NA,27
2001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,6,4,4,0,0,2,1,NA,28
2001,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,NA,NA,29
2001,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,2,9,2,2,0,0,7,1,NA,30
