day,month,location,length_mm,fish_id
28,6,Glacier Falls,70,32
28,6,Glacier Falls,67,66
28,6,Glacier Falls,65,34
28,6,Glacier Falls,65,42
28,6,Glacier Falls,64,33
28,6,Glacier Falls,63,75
28,6,Glacier Falls,63,78
28,6,Glacier Falls,63,462
28,6,Glacier Falls,62,55
28,6,Glacier Falls,62,69
28,6,Glacier Falls,62,73
28,6,Glacier Falls,61,35
28,6,Glacier Falls,61,65
28,6,Glacier Falls,61,68
28,6,Glacier Falls,60,11
28,6,Glacier Falls,60,36
28,6,Glacier Falls,60,39
28,6,Glacier Falls,60,72
28,6,Glacier Falls,58,67
28,6,Glacier Falls,58,77
28,6,Glacier Falls,57,10
28,6,Glacier Falls,57,31
28,6,Glacier Falls,57,38
28,6,Glacier Falls,57,40
28,6,Glacier Falls,57,41
28,6,Glacier Falls,57,44
28,6,Glacier Falls,57,50
28,6,Glacier Falls,57,64
28,6,Glacier Falls,57,70
28,6,Glacier Falls,57,79
28,6,Glacier Falls,56,43
28,6,Glacier Falls,56,57
28,6,Glacier Falls,55,13
28,6,Glacier Falls,55,17
28,6,Glacier Falls,55,18
28,6,Glacier Falls,55,37
28,6,Glacier Falls,55,45
28,6,Glacier Falls,55,47
28,6,Glacier Falls,55,48
28,6,Glacier Falls,55,49
28,6,Glacier Falls,55,63
28,6,Glacier Falls,55,71
28,6,Glacier Falls,55,74
28,6,Glacier Falls,54,8
28,6,Glacier Falls,54,21
28,6,Glacier Falls,54,24
28,6,Glacier Falls,54,46
28,6,Glacier Falls,53,5
28,6,Glacier Falls,52,12
28,6,Glacier Falls,52,14
28,6,Glacier Falls,52,19
28,6,Glacier Falls,52,22
28,6,Glacier Falls,52,23
28,6,Glacier Falls,51,15
28,6,Glacier Falls,51,16
28,6,Glacier Falls,51,56
28,6,Glacier Falls,50,3
28,6,Glacier Falls,50,4
28,6,Glacier Falls,50,20
28,6,Glacier Falls,50,52
28,6,Glacier Falls,50,53
28,6,Glacier Falls,50,54
28,6,Glacier Falls,50,76
28,6,Glacier Falls,49,9
28,6,Glacier Falls,49,51
28,6,Glacier Falls,48,25
28,6,Glacier Falls,48,61
28,6,Glacier Falls,47,6
28,6,Glacier Falls,47,7
28,6,Glacier Falls,47,59
28,6,Glacier Falls,46,60
28,6,Glacier Falls,45,26
28,6,Glacier Falls,44,28
28,6,Glacier Falls,43,1
28,6,Glacier Falls,42,27
28,6,Glacier Falls,39,29
28,6,Glacier Falls,34,30
28,6,Glacier Falls,32,62
28,6,Glacier Falls,28,2
26,6,Glacier Falls,92,499
26,6,Glacier Falls,63,494
26,6,Glacier Falls,62,458
26,6,Glacier Falls,62,495
26,6,Glacier Falls,57,496
26,6,Glacier Falls,55,489
26,6,Glacier Falls,52,497
26,6,Glacier Falls,50,487
16,6,Glacier Falls,71,469
16,6,Glacier Falls,70,500
16,6,Glacier Falls,69,459
16,6,Glacier Falls,68,828
16,6,Glacier Falls,67,472
16,6,Glacier Falls,67,491
16,6,Glacier Falls,65,478
16,6,Glacier Falls,65,821
16,6,Glacier Falls,64,470
16,6,Glacier Falls,63,461
16,6,Glacier Falls,63,471
16,6,Glacier Falls,63,492
16,6,Glacier Falls,62,453
16,6,Glacier Falls,62,482
16,6,Glacier Falls,62,484
16,6,Glacier Falls,62,820
16,6,Glacier Falls,61,449
16,6,Glacier Falls,60,454
16,6,Glacier Falls,60,460
16,6,Glacier Falls,60,498
16,6,Glacier Falls,60,843
16,6,Glacier Falls,59,493
16,6,Glacier Falls,58,463
16,6,Glacier Falls,58,474
16,6,Glacier Falls,58,485
16,6,Glacier Falls,58,819
16,6,Glacier Falls,58,834
16,6,Glacier Falls,57,455
16,6,Glacier Falls,57,486
16,6,Glacier Falls,57,818
16,6,Glacier Falls,56,842
16,6,Glacier Falls,55,450
16,6,Glacier Falls,55,464
16,6,Glacier Falls,55,465
16,6,Glacier Falls,55,466
16,6,Glacier Falls,55,473
16,6,Glacier Falls,55,475
16,6,Glacier Falls,55,481
16,6,Glacier Falls,55,816
16,6,Glacier Falls,55,817
16,6,Glacier Falls,55,827
16,6,Glacier Falls,55,833
16,6,Glacier Falls,55,841
16,6,Glacier Falls,54,452
16,6,Glacier Falls,54,815
16,6,Glacier Falls,54,826
16,6,Glacier Falls,54,839
16,6,Glacier Falls,54,840
16,6,Glacier Falls,53,468
16,6,Glacier Falls,53,476
16,6,Glacier Falls,53,480
16,6,Glacier Falls,53,825
16,6,Glacier Falls,52,467
16,6,Glacier Falls,52,488
16,6,Glacier Falls,52,812
16,6,Glacier Falls,52,813
16,6,Glacier Falls,52,814
16,6,Glacier Falls,52,823
16,6,Glacier Falls,52,824
16,6,Glacier Falls,52,838
16,6,Glacier Falls,51,811
16,6,Glacier Falls,50,479
16,6,Glacier Falls,50,483
16,6,Glacier Falls,50,490
16,6,Glacier Falls,48,810
16,6,Glacier Falls,48,822
16,6,Glacier Falls,48,832
16,6,Glacier Falls,48,837
16,6,Glacier Falls,47,456
16,6,Glacier Falls,47,457
16,6,Glacier Falls,47,809
16,6,Glacier Falls,47,830
16,6,Glacier Falls,47,831
16,6,Glacier Falls,47,836
16,6,Glacier Falls,46,835
16,6,Glacier Falls,45,829
16,6,Glacier Falls,33,477
16,6,Glacier Falls,32,844
15,7,Glacier Falls,58,451
