year,model,closed form,observed cells,ratio
2001,"Bateman (int, both shared)",2.312224217927787,2.8598103477832395,1.2368222448367048
2002,"Bateman (int, both shared)",0.9617382051882902,1.0160065598682393,1.0564273670185789
2003,"Bateman (int, both shared)",0.17478033359181316,0.17431873934996894,0.9973590035425711
2004,"Bateman (int, both shared)",1.3995211274466905,1.3487272959034708,0.9637062774208427
2005,"Bateman (int, both shared)",0.6342610428509848,0.6339202616731888,0.9994627114787561
2006,"Bateman (int, both shared)",0.16813327180806667,0.15528096800046334,0.9235588312212533
2007,"Bateman (int, both shared)",0.08248683295047171,0.08137206427102603,0.9864854954473155
2008,"Bateman (int, both shared)",0.2880627809081867,0.34206394080057045,1.1874631624472005
2009,"Bateman (int, both shared)",0.03819899177160706,0.04440331137500489,1.1624210303898503
2010,"Bateman (int, both shared)",0.11939576531874711,0.12379592376315127,1.036853555338895
2011,"Bateman (int, both shared)",0.02922605579928674,0.028598731897999004,0.9785354580311503
2012,"Bateman (int, both shared)",0.10421084863336727,0.10722766037348008,1.0289491140286795
2013,"Bateman (int, both shared)",0.06828842672403541,0.06752154371234494,0.988769941723953
2014,"Bateman (int, both shared)",0.048133494746986485,0.05375781924642855,1.1168484550936162
2015,"Bateman (int, both shared)",0.39455632663894785,0.38497972236092914,0.975728169512329
2016,"Bateman (int, both shared)",0.13662714254928363,0.1326283474443035,0.9707320593085104
2017,"Bateman (int, both shared)",0.055382532483783505,0.056984321468788825,1.028922277714085
2018,"Bateman (int, both shared)",0.04977330536911604,0.04555734019707617,0.9152966607145234
2019,"Bateman (int, both shared)",0.17661210187657422,0.17775723623927775,1.0064838952174626
2020,"Bateman (int, both shared)",0.10574960692711424,0.10769183850077857,1.0183663242833894
2021,"Bateman (int, both shared)",0.16683931025816554,0.16724350385889225,1.0024226520722321
2022,"Bateman (int, both shared)",0.1876343983474371,0.19018322654899017,1.0135840135071261
2023,"Bateman (int, both shared)",0.02338001272955476,0.02593200748680521,1.1091528386562624
2024,"Bateman (int, both shared)",0.08018352733728865,0.07530636476908645,0.939175006012312
2025,"Bateman (int, both shared)",0.07795554761096402,0.07789103837096041,0.9991724868597481
2001,best from grid,9.477071973127098,2.7476212556783746,0.289923012452522
2002,best from grid,4.893064636601047,0.9485620338357679,0.19385847199735412
2003,best from grid,0.6667433851613069,0.16216151442074492,0.24321428308060794
2004,best from grid,5.36660662937603,1.2928073339765058,0.24089847146609647
2005,best from grid,3.0806609764143302,0.7318493416016475,0.2375624410490855
2006,best from grid,0.8068445569564355,0.16044991925091698,0.1988610047221032
2007,best from grid,0.653190798530632,0.08320927319633072,0.12738892431355728
2008,best from grid,0.419771053206153,0.3160411889802403,0.7528894300032402
2009,best from grid,0.09514856640237,0.043019413986117624,0.4521288718549319
2010,best from grid,0.5032728457280683,0.12650425093110365,0.25136315619829264
2011,best from grid,0.148345625355625,0.029419166627389803,0.1983150265258178
2012,best from grid,0.39781840645458794,0.10704244094995373,0.26907362558693704
2013,best from grid,0.2703426984604769,0.06873062725411276,0.25423518979988624
2014,best from grid,0.20039388696016827,0.053456181637770994,0.26675555052433475
2015,best from grid,1.6377376169182083,0.4007318612146138,0.24468624099181763
2016,best from grid,0.450369504774068,0.13689461226837438,0.30396066078463463
2017,best from grid,0.5106155019153538,0.06259542314847158,0.12258817625722654
2018,best from grid,0.2332806107308031,0.04668516432694537,0.200124494619136
2019,best from grid,0.7862505592717587,0.1832321455031969,0.23304548828926783
2020,best from grid,0.3334358016562476,0.10507038174592401,0.3151142775431335
2021,best from grid,0.8654311610216804,0.17511392634448616,0.20234298720854504
2022,best from grid,0.9574604988824701,0.19082673528949193,0.19930507369465508
2023,best from grid,0.19196666779233995,0.02926799724267954,0.15246395418156766
2024,best from grid,0.3819986752485661,0.08322822951358551,0.21787570194956563
2025,best from grid,0.275810776278462,0.07916624225455648,0.2870309975656254
2001,motile-only,5.873378061966293,2.643968297245776,0.4501614350976458
2002,motile-only,3.4909793416710757,0.9403301149272546,0.26935997692760155
2003,motile-only,0.9535371664004428,0.17233735827015156,0.18073480965688715
2004,motile-only,6.209762068540955,1.3128148596760374,0.21141145911641931
2005,motile-only,3.610061962034901,0.7313724002478958,0.20259275545388136
2006,motile-only,1.0362102099446326,0.16303860612962814,0.15734124655878434
2007,motile-only,0.4742673209201302,0.08106558667534546,0.17092804648245508
2008,motile-only,0.696054327881876,0.32225921768602894,0.46297997839720056
2009,motile-only,0.10759694015253206,0.043908769194178736,0.40808566797468954
2010,motile-only,0.606572146863131,0.12758983721832973,0.2103456907445497
2011,motile-only,0.1202967142829771,0.028647951231454652,0.2381440873278162
2012,motile-only,0.3845364007275921,0.10722278205506768,0.27883649467823707
2013,motile-only,0.28243794563393027,0.0689199816435899,0.24401813817509332
2014,motile-only,0.19762350257063024,0.05353442733218337,0.2708909954323387
