year,week,farm_name,fit,lower,upper,scenario
2001,NA,NA,14.2183661527293,9.447721137811268,18.989011167647334,scen1-year
2002,NA,NA,3.522931609265135,2.392851822822177,4.653011395708093,scen1-year
2003,NA,NA,0.527470064777,0.3531684513802271,0.7017716781737728,scen1-year
2004,NA,NA,5.44483215963892,3.7444425301017863,7.145221789176054,scen1-year
2005,NA,NA,2.741357325474058,1.8958945587405611,3.5868200922075553,scen1-year
2006,NA,NA,0.6717561951623064,0.4605844202691459,0.882927970055467,scen1-year
2007,NA,NA,0.5414194962686043,0.37071305503244456,0.712125937504764,scen1-year
2008,NA,NA,0.4080610254280438,0.2804361244273281,0.5356859264287595,scen1-year
2009,NA,NA,0.07460035918303248,0.049926001015568364,0.0992747173504966,scen1-year
2010,NA,NA,0.4829008474913566,0.33184157629026184,0.6339601186924513,scen1-year
2011,NA,NA,0.13513927159132383,0.09198428903622749,0.17829425414642017,scen1-year
2012,NA,NA,0.32197830205329814,0.22132318683137342,0.42263341727522286,scen1-year
2013,NA,NA,0.24407991916369312,0.1678257118198829,0.32033412650750337,scen1-year
2014,NA,NA,0.1700397375045917,0.11633339564743764,0.22374607936174576,scen1-year
2015,NA,NA,1.299496581263486,0.8984354226523366,1.7005577398746354,scen1-year
2016,NA,NA,0.425135771711961,0.2922954272867294,0.5579761161371926,scen1-year
2017,NA,NA,0.4697456595903979,0.32267115967342286,0.6168201595073729,scen1-year
2018,NA,NA,0.13724121027650096,0.09166894233645669,0.18281347821654526,scen1-year
2019,NA,NA,0.7525397718251785,0.5182737507383981,0.9868057929119589,scen1-year
2020,NA,NA,0.28652044125221005,0.19535320084996283,0.37768768165445726,scen1-year
2021,NA,NA,0.7065643001745971,0.4871070615586185,0.9260215387905758,scen1-year
