year,week,farm_name,fit,lower,upper,scenario
2001,NA,NA,13.508542339609875,8.959891706759398,18.05719297246035,scen1_year
2002,NA,NA,4.651334339947426,3.153200039613342,6.14946864028151,scen1_year
2003,NA,NA,0.6014485060874405,0.4026112988771011,0.8002857132977799,scen1_year
2004,NA,NA,5.908316536155802,4.049385138714958,7.767247933596646,scen1_year
2005,NA,NA,2.7064853938485216,1.8647240706630726,3.5482467170339707,scen1_year
2006,NA,NA,0.6631393245145998,0.4529927555473431,0.8732858934818565,scen1_year
2007,NA,NA,0.5616600433306883,0.38330153213873275,0.7400185545226439,scen1_year
2008,NA,NA,0.4073441200582264,0.2788669928075048,0.535821247308948,scen1_year
2009,NA,NA,0.07388905284319196,0.049262358481447624,0.09851574720493629,scen1_year
2010,NA,NA,0.4782241322183311,0.3273758599754322,0.6290724044612299,scen1_year
2011,NA,NA,0.1336890890820333,0.09064626015303694,0.17673191801102967,scen1_year
2012,NA,NA,0.3205092799922414,0.21946441479721943,0.4215541451872633,scen1_year
2013,NA,NA,0.24173343233407782,0.1655594016762894,0.31790746299186623,scen1_year
2014,NA,NA,0.1690476014411787,0.1152099235126864,0.222885279369671,scen1_year
2015,NA,NA,1.2880906831536272,0.8870773195434186,1.6891040467638359,scen1_year
2016,NA,NA,0.42131110681051703,0.28855181437661526,0.5540703992444188,scen1_year
2017,NA,NA,0.465717198193309,0.3186877756933355,0.6127466206932825,scen1_year
2018,NA,NA,0.14046182050923478,0.09358243208545317,0.1873412089330164,scen1_year
2019,NA,NA,0.7500627438121019,0.5146053486334526,0.9855201389907512,scen1_year
2020,NA,NA,0.28398532856164493,0.19289906556822567,0.3750715915550642,scen1_year
2021,NA,NA,0.700390854991066,0.48098528305377813,0.9197964269283538,scen1_year
