year,fit,lower,upper,scenario
2001,13.845784164254217,9.25001253593458,18.441555792573855,scen2
2002,5.238912484844192,3.581669646130358,6.896155323558027,scen2
2003,0.6762914692404334,0.45665770831011254,0.8959252301707542,scen2
2004,6.517590294925135,4.498499055407512,8.536681534442758,scen2
2005,2.8303670691110283,1.9612078722071826,3.6995262660148738,scen2
2006,0.6876741799812354,0.4727047774531087,0.902643582509362,scen2
2007,0.5932063316566406,0.4074692227859501,0.7789434405273311,scen2
2008,0.41420235229510066,0.2855080288835962,0.5428966757066052,scen2
2009,0.08270868654124038,0.05566259169424635,0.1097547813882344,scen2
2010,0.5130822518660371,0.3535389508958695,0.6726255528362046,scen2
2011,0.14527459552576288,0.09917425248149125,0.19137493857003451,scen2
2012,0.3286250398928441,0.22639684628443144,0.4308532335012567,scen2
2013,0.23288238228300565,0.16035327137618172,0.3054114931898296,scen2
2014,0.1720219931646247,0.11791474328964857,0.2261292430396008,scen2
2015,1.3371128581583576,0.9265530511841884,1.7476726651325267,scen2
2016,0.39588043750018026,0.27261037688968043,0.5191504981106801,scen2
2017,0.46842828712161294,0.32249400964608843,0.6143625645971375,scen2
2018,0.14172055916267534,0.09493129383130566,0.18850982449404502,scen2
2019,0.7119721669383097,0.4913256048516583,0.932618729024961,scen2
2020,0.30218975300150996,0.2066453232640916,0.39773418273892835,scen2
2021,0.7404046055133982,0.5117326421456024,0.9690765688811939,scen2
