effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.016489603295254,0.09880722157379188,10.287604358312134
fixed,NA,lice,-0.22356989245482378,0.05399898762909925,-4.14026081359987
fixed,NA,S:population_nameroscoe_creek_even,-1.4052681474512323e-4,3.2565458564357457e-5,-4.315210684578792
fixed,NA,S:population_namecooper_inlet_creeks_even,-5.124828104679792e-5,1.4426636998601176e-5,-3.5523373223965518
fixed,NA,S:population_namequartcha_creek_even,-2.019273760013428e-4,4.1936765492260555e-5,-4.81504411775888
fixed,NA,S:population_nameneekas_creek_even,-2.101566702099667e-5,4.9801561414924245e-6,-4.219881149087589
fixed,NA,S:population_namekadjusdis_river_even,-1.2148799760470633e-4,3.860885973531958e-5,-3.146635213719314
fixed,NA,S:population_namelee_creek_even,-0.0015653553841504769,5.804366396287941e-4,-2.6968583257451955
fixed,NA,S:population_nameclatse_creek_even,-2.503785711471673e-5,7.260391981563047e-6,-3.4485544552274265
fixed,NA,S:population_namekunsoot_river_even,-4.972279506338116e-5,1.6506422222215064e-5,-3.0123302550968347
fixed,NA,S:population_namekwakusdis_river_even,-7.827124046750181e-5,2.099431324262724e-5,-3.728211519135498
fixed,NA,S:population_nameroscoe_creek_odd,-5.59482220467308e-5,1.4533007970015164e-5,-3.849734491453143
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.427148153184401e-5,3.032342093153108e-5,-3.1088669627580865
fixed,NA,S:population_namequartcha_creek_odd,-1.038087305898249e-4,2.9678050086664328e-5,-3.497828539499325
fixed,NA,S:population_nameneekas_creek_odd,-2.753955560159611e-5,4.911284196006151e-6,-5.607404194607845
fixed,NA,S:population_namelee_creek_odd,-2.0565780004014835e-4,6.538602953538557e-5,-3.1452865619994648
fixed,NA,S:population_nameclatse_creek_odd,-4.0799458717782224e-5,1.0340662591705846e-5,-3.945536212593099
fixed,NA,S:population_namekunsoot_river_odd,-1.3821253377664633e-4,3.433335015298433e-5,-4.0256058077872305
fixed,NA,S:population_namekwakusdis_river_odd,-8.702120682846858e-5,2.1360219006723766e-5,-4.073984765843274
fixed,NA,S:population_nameviner_sound_creek_even,-1.2901131947702256e-4,2.7112662198313095e-5,-4.758342007633962
fixed,NA,S:population_nameahta_river_even,-5.4229754125220134e-5,1.012790006281536e-5,-5.35449143345371
fixed,NA,S:population_nameglendale_creek_even,-2.3058346722454803e-6,9.456382172679508e-7,-2.4383898938721846
fixed,NA,S:population_namewakeman_river_even,-3.921038548430936e-6,2.779107696031864e-6,-1.4108983808110687
fixed,NA,S:population_namekakweiken_river_even,-2.0242319105654364e-6,6.215537297035068e-7,-3.2567287650756023
fixed,NA,S:population_namelull_creek_even,-1.4468850337774698e-4,2.675819576353446e-5,-5.407259318093696
fixed,NA,S:population_nameahnuhati_river_even,-4.6566250231684455e-6,1.6620289634368836e-6,-2.8017712841412123
fixed,NA,S:population_namekingcome_river_even,-7.707114365884531e-6,3.0735476613449697e-6,-2.507562990746639
fixed,NA,S:population_nameahta_river_odd,-5.4075042664629655e-5,1.3152476342794136e-5,-4.111396307073064
fixed,NA,S:population_nameglendale_creek_odd,-1.787856343290699e-6,7.315812586185895e-7,-2.443824691007837
fixed,NA,S:population_namewakeman_river_odd,-4.299809713941103e-6,1.501899764443045e-6,-2.8629139012719778
fixed,NA,S:population_namekakweiken_river_odd,-2.1114645839475868e-6,7.731088583789295e-7,-2.731134899133026
fixed,NA,S:population_namelull_creek_odd,-6.638867396924951e-5,1.95105408427871e-5,-3.4027080286599487
fixed,NA,S:population_nameahnuhati_river_odd,-5.5397027348602385e-5,2.2454706528278112e-5,-2.4670563954527167
fixed,NA,S:population_namekingcome_river_odd,-9.968939646193174e-5,2.81314887802171e-5,-3.5436943007451593
