effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.0409466663459879,0.09700490619264976,10.730866171641763
fixed,NA,lice,-0.2142361732607661,0.04787951282588628,-4.474485236302119
fixed,NA,S:population_nameroscoe_creek_even,-1.378947847528007e-4,3.480120651601334e-5,-3.9623564398363644
fixed,NA,S:population_namecooper_inlet_creeks_even,-4.9724785159988025e-5,1.5355433761135847e-5,-3.2382533722909215
fixed,NA,S:population_namequartcha_creek_even,-1.9403023878525636e-4,4.465019496141545e-5,-4.345563081033084
fixed,NA,S:population_namegoat_bushu_creek_even,-0.001465610318957785,4.390040904882083e-4,-3.3384889815671355
fixed,NA,S:population_nameneekas_creek_even,-2.0632329605280093e-5,5.293121803806495e-6,-3.8979510334416565
fixed,NA,S:population_namewalker_lake_creek_even,-9.58208403693066e-4,3.666181125552632e-4,-2.6136417456696925
fixed,NA,S:population_namekadjusdis_river_even,-1.2131408077528923e-4,4.102739096288215e-5,-2.9569045929594493
fixed,NA,S:population_namepine_river_even,-2.8602265653675447e-4,9.719531110430442e-5,-2.9427618810727547
fixed,NA,S:population_namelee_creek_even,-0.0014414151580800002,6.170016807828502e-4,-2.3361608290128744
fixed,NA,S:population_nameclatse_creek_even,-2.5072948591346545e-5,7.717920886952076e-6,-3.2486661833674524
fixed,NA,S:population_nametankeeah_river_even,-5.308055500098826e-4,1.4429671779786786e-4,-3.678569811639373
fixed,NA,S:population_namekunsoot_river_even,-4.8742963468549424e-5,1.753105612061317e-5,-2.780378040729504
fixed,NA,S:population_namebullock_channel_creeks_even,-5.004654738699618e-4,1.9507371410347975e-4,-2.56551978912178
fixed,NA,S:population_namekwakusdis_river_even,-7.797274780135077e-5,2.2375176537663938e-5,-3.4847880493858865
fixed,NA,S:population_nameroscoe_creek_odd,-5.655098991137929e-5,1.544376409177939e-5,-3.66173619172809
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.428266631410311e-5,3.2243792489361965e-5,-2.9240563542644473
fixed,NA,S:population_namequartcha_creek_odd,-1.0759448588544154e-4,3.144302129144425e-5,-3.4218876388548054
fixed,NA,S:population_nameneekas_creek_odd,-2.8402846748500282e-5,5.247726195270709e-6,-5.412410192836879
fixed,NA,S:population_namekadjusdis_river_odd,-2.1823991208162386e-4,7.014359240119625e-5,-3.111330694803449
fixed,NA,S:population_namepine_river_odd,-4.4251322510970525e-4,9.984297420775357e-5,-4.432091778325057
fixed,NA,S:population_namelee_creek_odd,-2.1182517087023627e-4,6.996464568037392e-5,-3.027602995917926
fixed,NA,S:population_nameclatse_creek_odd,-4.16386459771585e-5,1.0978840248971832e-5,-3.7926270018418347
fixed,NA,S:population_nametankeeah_river_odd,-1.8389337995471577e-4,6.798127461216988e-5,-2.7050593123447486
fixed,NA,S:population_namekunsoot_river_odd,-1.4011156716453227e-4,3.653540898661391e-5,-3.8349527499710563
fixed,NA,S:population_namekwakusdis_river_odd,-8.941453460101556e-5,2.269511670073239e-5,-3.9398138277971526
fixed,NA,S:population_namebullock_channel_creeks_odd,-7.472197698132021e-4,1.6527362584642876e-4,-4.521107139668577
fixed,NA,S:population_namemcloughlin_creek_even,-6.969539485712075e-4,2.9728043342171364e-4,-2.3444326306619994
fixed,NA,S:population_namegoat_bushu_creek_odd,-7.884708990836508e-4,5.825420191286118e-4,-1.3535004741170005
fixed,NA,S:population_namewalker_lake_creek_odd,-0.001233432782588271,2.300515007740716e-4,-5.3615506894675615
fixed,NA,S:population_namemcloughlin_creek_odd,-0.0012808341547145597,3.2857771497872806e-4,-3.898116324771083
fixed,NA,S:population_nameviner_sound_creek_even,-1.2799800126129805e-4,2.9439125523353238e-5,-4.347887343316662
fixed,NA,S:population_nameahta_river_even,-5.443898297912686e-5,1.0954255272515784e-5,-4.969665360612347
fixed,NA,S:population_nameglendale_creek_even,-2.3284086958069e-6,1.0264066024728073e-6,-2.268505181277404
fixed,NA,S:population_namewakeman_river_even,-3.931568927301739e-6,3.0233720530622932e-6,-1.3003920319100513
fixed,NA,S:population_namekakweiken_river_even,-2.0147758344920037e-6,6.76266004214697e-7,-2.9792652919639657
fixed,NA,S:population_namelull_creek_even,-1.455922390005631e-4,2.8927752970126604e-5,-5.032960532776767
fixed,NA,S:population_nameahnuhati_river_even,-4.666653679396514e-6,1.8051655134103053e-6,-2.585166648004651
fixed,NA,S:population_namekingcome_river_even,-8.044716208446727e-6,3.332676877226112e-6,-2.413890246432348
fixed,NA,S:population_nameviner_sound_creek_odd,-0.0012521884651683518,3.468455179863175e-4,-3.6102195364616145
fixed,NA,S:population_nameahta_river_odd,-5.498906943163941e-5,1.4160004374546457e-5,-3.8834076584387143
fixed,NA,S:population_nameglendale_creek_odd,-1.934307651891709e-6,7.865159533763104e-7,-2.4593368304714285
fixed,NA,S:population_namewakeman_river_odd,-4.527385463521021e-6,1.6203860139936427e-6,-2.7940166259289767
fixed,NA,S:population_namekakweiken_river_odd,-2.1523842110350387e-6,8.340428102926908e-7,-2.580663947309494
fixed,NA,S:population_namelull_creek_odd,-7.095932959168495e-5,2.0972659433609398e-5,-3.3834206775879947
fixed,NA,S:population_nameahnuhati_river_odd,-5.772644700221786e-5,2.424926746598931e-5,-2.38054395181965
fixed,NA,S:population_namekingcome_river_odd,-1.0075352489774956e-4,3.039131592230129e-5,-3.3152077111546245
fixed,NA,S:population_namequatlena_river_even,-2.379472156600934e-4,5.744342838714342e-5,-4.142287853302103
fixed,NA,S:population_namenecleetsconnay_river_even,-2.4545252120082606e-5,7.222573200002569e-6,-3.398408218288999
fixed,NA,S:population_namecascade_river_even,-1.079026570201718e-4,3.935598422205984e-5,-2.741709022225142
fixed,NA,S:population_namenamu_river_even,-7.189419614513594e-4,5.637144840674752e-4,-1.2753654230486364
fixed,NA,S:population_namesagar_creek_even,-3.7049809907739665e-4,9.464327093866169e-5,-3.9146797802193087
fixed,NA,S:population_namedean_river_even,-1.9895810798477804e-5,6.482381055922379e-6,-3.0692133996505437
fixed,NA,S:population_namekwatna_river_even,-8.792875425810424e-6,2.626045986733362e-6,-3.348332614977628
