effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),0.9917032150939745,0.10066491950824401,9.851527423242597
fixed,NA,S:population_nameroscoe_creek_even,-1.4166366687491357e-4,3.265504622991831e-5,-4.338186076280069
fixed,NA,S:population_namecooper_inlet_creeks_even,-5.178276681901399e-5,1.4485926998819174e-5,-3.5746947242820624
fixed,NA,S:population_namequartcha_creek_even,-2.0224184069167082e-4,4.210257999921611e-5,-4.803549822729065
fixed,NA,S:population_nameneekas_creek_even,-2.0867963930462172e-5,5.002780949064728e-6,-4.171272766672594
fixed,NA,S:population_namekadjusdis_river_even,-1.2292411495265742e-4,3.877042752738393e-5,-3.1705638238277083
fixed,NA,S:population_namelee_creek_even,-0.001586725839039368,5.828200018675039e-4,-2.7224972271972367
fixed,NA,S:population_nameclatse_creek_even,-2.5055406233386417e-5,7.292463985158665e-6,-3.435794305515693
fixed,NA,S:population_namekunsoot_river_even,-4.98140315953908e-5,1.6576995391920756e-5,-3.005009678633862
fixed,NA,S:population_namekwakusdis_river_even,-7.84108840426604e-5,2.1070361332897444e-5,-3.7213829798085336
fixed,NA,S:population_nameroscoe_creek_odd,-5.549491447517172e-5,1.45700692883227e-5,-3.8088298262005225
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.284387686051903e-5,3.0418239990815363e-5,-3.052243551518851
fixed,NA,S:population_namequartcha_creek_odd,-1.0045760237235087e-4,2.9778034721252276e-5,-3.373547089749859
fixed,NA,S:population_nameneekas_creek_odd,-2.7061201354351155e-5,4.925088765029232e-6,-5.494561143039731
fixed,NA,S:population_namelee_creek_odd,-2.0456112275937238e-4,6.551937665553414e-5,-3.1221469617277564
fixed,NA,S:population_nameclatse_creek_odd,-3.9241849731253845e-5,1.0375717518618442e-5,-3.782085398994075
fixed,NA,S:population_namekunsoot_river_odd,-1.3687806052943972e-4,3.443521619974604e-5,-3.974944130899611
fixed,NA,S:population_namekwakusdis_river_odd,-8.463594391808057e-5,2.142451071099274e-5,-3.950425989175779
fixed,NA,S:population_nameviner_sound_creek_even,-1.306547063576216e-4,2.7155792433928348e-5,-4.811301554742409
fixed,NA,S:population_nameahta_river_even,-6.182573707043633e-5,9.985032502283388e-6,-6.191841344161669
fixed,NA,S:population_nameglendale_creek_even,-3.0983363045263306e-6,9.269627971372696e-7,-3.342460252013234
fixed,NA,S:population_namewakeman_river_even,-6.5499913423329256e-6,2.705920886668187e-6,-2.4206145030344772
fixed,NA,S:population_namekakweiken_river_even,-2.6155338580412374e-6,6.0506128062438555e-07,-4.322758606107086
fixed,NA,S:population_namelull_creek_even,-1.6533490647722138e-4,2.6357052942742745e-5,-6.2728904796901945
fixed,NA,S:population_nameahnuhati_river_even,-6.065612712906297e-6,1.62824391669635e-6,-3.7252481957452743
fixed,NA,S:population_namekingcome_river_even,-8.867920263636018e-6,3.067878936355502e-6,-2.8905704715228095
fixed,NA,S:population_nameahta_river_odd,-5.5483419972788666e-5,1.3187880123557643e-5,-4.207152283229969
fixed,NA,S:population_nameglendale_creek_odd,-2.0476371145393675e-6,7.300319540531944e-7,-2.804859572475871
fixed,NA,S:population_namewakeman_river_odd,-4.326777419759148e-6,1.5052981744227005e-6,-2.874365686000063
fixed,NA,S:population_namekakweiken_river_odd,-2.1364488806406193e-6,7.751625775482675e-7,-2.7561300590618205
fixed,NA,S:population_namelull_creek_odd,-6.913417676665888e-5,1.9575317790446337e-5,-3.531701375514811
fixed,NA,S:population_nameahnuhati_river_odd,-5.6992939436697e-5,2.2510661041623746e-5,-2.531819893308027
fixed,NA,S:population_namekingcome_river_odd,-9.93921251818154e-5,2.820283834903625e-5,-3.5241887341885865
fixed,NA,S:population_namenecleetsconnay_river_even,-2.2067993074548766e-5,6.699522025800796e-6,-3.293965299249982
fixed,NA,S:population_namecascade_river_even,-9.864083407542403e-5,3.649328333660286e-5,-2.70298600335824
fixed,NA,S:population_namesagar_creek_even,-3.60715978931838e-4,8.784878691007656e-5,-4.1061008537439765
fixed,NA,S:population_namedean_river_even,-1.8142174868630782e-5,6.001921498837263e-6,-3.022727783451586
fixed,NA,S:population_namekwatna_river_even,-7.877284762518305e-6,2.437400903209463e-6,-3.2318379599128897
fixed,NA,S:population_namekoeye_river_even,-1.0075875608325313e-5,2.532077462694971e-6,-3.9792920069677633
fixed,NA,S:population_namenekite_river_even,-1.975704331215962e-5,1.473215928298823e-5,-1.3410826568359064
fixed,NA,S:population_nameasseek_river_even,-7.594566222427073e-5,3.142151696179083e-5,-2.416995408484642
fixed,NA,S:population_nameelcho_creek_even,-6.625773717222775e-5,1.7180268788338817e-5,-3.8566181931449455
fixed,NA,S:population_namekilbella_river_even,-1.2062709054939674e-5,3.1791414956677496e-6,-3.7943290889624315
fixed,NA,S:population_namejohnston_creek_even,-2.2987667447502722e-5,5.0139076065948435e-6,-4.584780823896079
fixed,NA,S:population_namebella_coola_river_even,-4.4946537633401735e-7,1.4636867139918728e-7,-3.0707758158725285
fixed,NA,S:population_namejenny_bay_creeks_even,-5.069120606872538e-5,1.2723643304726587e-5,-3.9840165945153916
fixed,NA,S:population_namenooseseck_river_even,-7.453484684602557e-5,1.62576792394376e-5,-4.5845932711736745
fixed,NA,S:population_namemartin_river_even,-1.1110512457032796e-4,6.713511622808448e-5,-1.6549479737677077
fixed,NA,S:population_namenicknaqueet_river_even,-2.0329846356691416e-4,6.969430682673343e-5,-2.9170024471630542
fixed,NA,S:population_namehook_nose_creek_even,-8.503175269051761e-5,2.1589209772769633e-5,-3.938622746524412
fixed,NA,S:population_namenootum_river_even,-7.793600722430688e-5,1.781801730051168e-5,-4.373999974849546
fixed,NA,S:population_nameworan_creek_even,-1.9091785083918565e-4,5.854079159645168e-5,-3.261278941276867
fixed,NA,S:population_nameevans_inlet_#3_creek_even,-1.1840459691663903e-4,2.9650314505422382e-5,-3.993367318076355
fixed,NA,S:population_namefrenchman_creek_even,-8.163689515235433e-5,2.308151549399088e-5,-3.5368949310805853
fixed,NA,S:population_namenecleetsconnay_river_odd,-2.9883155873891602e-5,9.480731021253255e-6,-3.1519885762924384
fixed,NA,S:population_namecascade_river_odd,-2.4443975784042317e-4,6.543268345773414e-5,-3.7357440490472564
fixed,NA,S:population_namedean_river_odd,-3.8992514212666915e-5,1.1988195647854764e-5,-3.2525757301637346
fixed,NA,S:population_namekwatna_river_odd,-5.326619324918268e-6,2.1336713899209784e-6,-2.4964572098965725
fixed,NA,S:population_namekoeye_river_odd,-1.2916228581270826e-5,2.983497896574371e-6,-4.329223290588252
fixed,NA,S:population_namenekite_river_odd,-3.350144197278976e-5,1.0357882201378507e-5,-3.234391096698428
fixed,NA,S:population_nameelcho_creek_odd,-4.202991310656992e-5,1.462110171188649e-5,-2.8746064376531177
fixed,NA,S:population_namechuckwalla_river_odd,-2.313012581024178e-6,1.1917462290859506e-6,-1.9408599956705717
fixed,NA,S:population_namejohnston_creek_odd,-2.6005502216916694e-5,6.281859185633831e-6,-4.139777961974927
fixed,NA,S:population_namebella_coola_river_odd,-6.800125242328376e-7,2.3602113433805816e-7,-2.8811509873469254
fixed,NA,S:population_namejenny_bay_creeks_odd,-1.327560136429237e-4,3.9283607169430154e-5,-3.3794252414333323
fixed,NA,S:population_namenooseseck_river_odd,-8.26637315045351e-5,3.4175714102621176e-5,-2.418785786196492
