effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.0418884295238224,0.09694616718447575,10.74708221874565
fixed,NA,lice,-0.21417174309009274,0.04816137413530698,-4.446960804905356
fixed,NA,S:population_nameroscoe_creek_even,-1.3792027083035639e-4,3.480265581112198e-5,-3.9629237371672317
fixed,NA,S:population_namecooper_inlet_creeks_even,-4.9742144668627324e-5,1.535626484930327e-5,-3.239208567758206
fixed,NA,S:population_namequartcha_creek_even,-1.9405417654314188e-4,4.4652574031643635e-5,-4.345867640365432
fixed,NA,S:population_namegoat_bushu_creek_even,-0.0014661544971175547,4.3902308832744234e-4,-3.339584035780901
fixed,NA,S:population_nameneekas_creek_even,-2.0635295431466445e-5,5.293443349534728e-6,-3.8982745386857127
fixed,NA,S:population_namewalker_lake_creek_even,-9.584661382537222e-4,3.6663149096284684e-4,-2.614249353585532
fixed,NA,S:population_namekadjusdis_river_even,-1.2135905258566332e-4,4.102955986078496e-5,-2.957844368729271
fixed,NA,S:population_namepine_river_even,-2.861084557698128e-4,9.720002725645724e-5,-2.9435018059710054
fixed,NA,S:population_namelee_creek_even,-0.0014419852466004063,6.170337921982223e-4,-2.336963169331848
fixed,NA,S:population_nameclatse_creek_even,-2.5084584505947216e-5,7.71836561458802e-6,-3.2499865591410115
fixed,NA,S:population_nametankeeah_river_even,-5.309371871890612e-4,1.4430365963429107e-4,-3.67930507469191
fixed,NA,S:population_namekunsoot_river_even,-4.8756042991725555e-5,1.7532005477172322e-5,-2.7809735204114965
fixed,NA,S:population_namebullock_channel_creeks_even,-5.005763938821484e-4,1.950838899665868e-4,-2.565954543801055
fixed,NA,S:population_namekwakusdis_river_even,-7.799710363536694e-5,2.2376285415043122e-5,-3.485703823876463
fixed,NA,S:population_nameroscoe_creek_odd,-5.657300187036216e-5,1.544439583812899e-5,-3.6630116492284674
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.433183067918504e-5,3.224541015339702e-5,-2.9254343557868276
fixed,NA,S:population_namequartcha_creek_odd,-1.0774036256977307e-4,3.144528985240003e-5,-3.426279836359972
fixed,NA,S:population_nameneekas_creek_odd,-2.8420733810757705e-5,5.248049537847099e-6,-5.4154850494068905
fixed,NA,S:population_namekadjusdis_river_odd,-2.183359782425391e-4,7.014686580418438e-5,-3.1125550049809205
fixed,NA,S:population_namepine_river_odd,-4.426499912792804e-4,9.984747093680697e-5,-4.4332619256769314
fixed,NA,S:population_namelee_creek_odd,-2.1189452273087336e-4,6.99673484806422e-5,-3.028477244489235
fixed,NA,S:population_nameclatse_creek_odd,-4.1703964003674145e-5,1.0979845042019798e-5,-3.7982288314701473
fixed,NA,S:population_nametankeeah_river_odd,-1.8397752769541082e-4,6.798425442697979e-5,-2.706178500391095
fixed,NA,S:population_namekunsoot_river_odd,-1.401643936858297e-4,3.6537132890633054e-5,-3.8362176393365375
fixed,NA,S:population_namekwakusdis_river_odd,-8.953383842814124e-5,2.2696784388227955e-5,-3.9447807626255367
fixed,NA,S:population_namebullock_channel_creeks_odd,-7.478263447553569e-4,1.652831819578698e-4,-4.524515657896614
fixed,NA,S:population_namemcloughlin_creek_even,-6.97174342695513e-4,2.972916118122822e-4,-2.3450858180812966
