effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),1.0184846557124148,0.09874360130438467,10.314437009167392
fixed,NA,lice,-0.19388695678810572,0.04671542712429537,-4.150383903634921
fixed,NA,S:population_nameroscoe_creek_even,-1.4058419229338428e-4,3.25650871538823e-5,-4.317021834735803
fixed,NA,S:population_namecooper_inlet_creeks_even,-5.128218663069524e-5,1.4426728575830714e-5,-3.5546649651819853
fixed,NA,S:population_namequartcha_creek_even,-2.0207378250630318e-4,4.193709244230897e-5,-4.8184976768307735
fixed,NA,S:population_nameneekas_creek_even,-2.103806049751195e-5,4.98027877788706e-6,-4.224273667354337
fixed,NA,S:population_namekadjusdis_river_even,-1.2157446802400947e-4,3.860915022447608e-5,-3.1488511743244207
fixed,NA,S:population_namelee_creek_even,-0.0015667699271252262,5.804405749883819e-4,-2.6992770571846854
fixed,NA,S:population_nameclatse_creek_even,-2.50703888764183e-5,7.260496477640204e-6,-3.452985474702226
fixed,NA,S:population_namekunsoot_river_even,-4.9767020549932923e-5,1.6506611763242712e-5,-3.01497492421523
fixed,NA,S:population_namekwakusdis_river_even,-7.83565124663063e-5,2.0994390380881554e-5,-3.7322594771630664
fixed,NA,S:population_nameroscoe_creek_odd,-5.597899852301327e-5,1.4532827979203456e-5,-3.8518998919631797
fixed,NA,S:population_namecooper_inlet_creeks_odd,-9.433868260728593e-5,3.0323336287800535e-5,-3.1110917912169045
fixed,NA,S:population_namequartcha_creek_odd,-1.0400962891094558e-4,2.9679169738824096e-5,-3.5044655839845773
fixed,NA,S:population_nameneekas_creek_odd,-2.7575622885098202e-5,4.911412916848203e-6,-5.614600798581254
fixed,NA,S:population_namelee_creek_odd,-2.057914020805344e-4,6.538475842942839e-5,-3.147391028486415
fixed,NA,S:population_nameclatse_creek_odd,-4.08791426204201e-5,1.0341261356554562e-5,-3.953013197419078
fixed,NA,S:population_namekunsoot_river_odd,-1.382834265132373e-4,3.4333154351438394e-5,-4.027693613518616
fixed,NA,S:population_namekwakusdis_river_odd,-8.70829394506324e-5,2.1360373982768855e-5,-4.0768452612712265
fixed,NA,S:population_nameviner_sound_creek_even,-1.2889936703185941e-4,2.711244856756867e-5,-4.754250310908698
fixed,NA,S:population_nameahta_river_even,-5.4004295776579505e-5,1.0137472004308514e-5,-5.327195552661177
fixed,NA,S:population_nameglendale_creek_even,-2.301027497145597e-6,9.457581246256802e-7,-2.4329978640747245
fixed,NA,S:population_namewakeman_river_even,-3.9068105948364684e-6,2.77942525022125e-6,-1.4056181559570546
fixed,NA,S:population_namekakweiken_river_even,-2.020570388757448e-6,6.216532907897686e-7,-3.2503172084723455
fixed,NA,S:population_namelull_creek_even,-1.4398006919101957e-4,2.67899417225097e-5,-5.374407704293111
fixed,NA,S:population_nameahnuhati_river_even,-4.649291073637725e-6,1.6621715943832337e-6,-2.797118594342778
fixed,NA,S:population_namekingcome_river_even,-7.70065263305112e-6,3.073575607895047e-6,-2.5054378403025357
fixed,NA,S:population_nameahta_river_odd,-5.3784090732770044e-5,1.3154647364888978e-5,-4.08859996325899
fixed,NA,S:population_nameglendale_creek_odd,-1.761283890207193e-6,7.32184266236129e-7,-2.405519991929436
fixed,NA,S:population_namewakeman_river_odd,-4.296489336073435e-6,1.5018720872392072e-6,-2.8607558343875934
fixed,NA,S:population_namekakweiken_river_odd,-2.1020572722081556e-6,7.731310769637094e-7,-2.7188886009646533
fixed,NA,S:population_namelull_creek_odd,-6.550039150438511e-5,1.9519302832789373e-5,-3.3556726931022713
fixed,NA,S:population_nameahnuhati_river_odd,-5.515420976444949e-5,2.2455674811891913e-5,-2.4561368218264956
fixed,NA,S:population_namekingcome_river_odd,-9.957959979691484e-5,2.8131112597034705e-5,-3.5398386556318253
fixed,NA,S:population_namenecleetsconnay_river_even,-2.255194004418674e-5,6.692910303156905e-6,-3.3695267115038825
fixed,NA,S:population_namecascade_river_even,-1.0157729060332625e-4,3.64544850488356e-5,-2.7864140850501675
fixed,NA,S:population_namesagar_creek_even,-3.6316550939387716e-4,8.775776732450039e-5,-4.138271978262691
fixed,NA,S:population_namedean_river_even,-1.8280075155650134e-5,5.996774248651536e-6,-3.048318045282542
fixed,NA,S:population_namekwatna_river_even,-8.043497116929783e-6,2.434407759265294e-6,-3.3040878572278776
fixed,NA,S:population_namekoeye_river_even,-1.0232938156207953e-5,2.529205308981533e-6,-4.045910436716812
fixed,NA,S:population_namenekite_river_even,-2.0694301987603474e-5,1.4556250077479786e-5,-1.4216781023582419
fixed,NA,S:population_nameasseek_river_even,-7.686465223810249e-5,3.13939670950625e-5,-2.4483892719054103
fixed,NA,S:population_nameelcho_creek_even,-6.745606186221968e-5,1.7159290039910406e-5,-3.931168580129198
fixed,NA,S:population_namekilbella_river_even,-1.2354408727648219e-5,3.1626837780409282e-6,-3.9063054022115837
fixed,NA,S:population_namejohnston_creek_even,-2.3442953182797107e-5,4.992618827059904e-6,-4.695522329030353
fixed,NA,S:population_namebella_coola_river_even,-4.583580348079046e-7,1.4620108367978215e-7,-3.1351206384477024
fixed,NA,S:population_namejenny_bay_creeks_even,-5.123534773819796e-5,1.2711405820406582e-5,-4.030659429970049
fixed,NA,S:population_namenooseseck_river_even,-7.507704499455993e-5,1.6239325727971337e-5,-4.62316270097618
fixed,NA,S:population_namemartin_river_even,-1.1816552775125672e-4,6.709157612803208e-5,-1.7612572929537278
fixed,NA,S:population_namenicknaqueet_river_even,-2.0895735279988226e-4,6.948418842419027e-5,-3.007264782661485
fixed,NA,S:population_namehook_nose_creek_even,-8.571863579291241e-5,2.156701004061151e-5,-3.9745257053017977
fixed,NA,S:population_namenootum_river_even,-7.836897647568085e-5,1.7800955560518837e-5,-4.402515146405807
fixed,NA,S:population_nameworan_creek_even,-1.9286083711476953e-4,5.847465930953539e-5,-3.298195139434014
fixed,NA,S:population_nameevans_inlet_#3_creek_even,-1.1880773383455897e-4,2.9625262572955527e-5,-4.010352095343682
fixed,NA,S:population_namefrenchman_creek_even,-8.31973061547213e-5,2.3054090326635026e-5,-3.608787203310345
fixed,NA,S:population_namenecleetsconnay_river_odd,-3.07144998651017e-5,9.466263013211523e-6,-3.2446277715118654
fixed,NA,S:population_namecascade_river_odd,-2.496469828190589e-4,6.530009749945109e-5,-3.823072129733917
fixed,NA,S:population_namedean_river_odd,-4.045146156719459e-5,1.1969501103371605e-5,-3.3795444954510345
fixed,NA,S:population_namekwatna_river_odd,-5.595871750024963e-6,2.124943479221171e-6,-2.633421455556055
fixed,NA,S:population_namekoeye_river_odd,-1.3304831733337493e-5,2.9775788366502684e-6,-4.468339030883639
fixed,NA,S:population_namenekite_river_odd,-3.4956913930924554e-5,1.0240563184711865e-5,-3.4135733846271
